nrun,num_blocks,num_threads_per_block,taukern
0,8,32,6.90659
1,8,32,6.75498
2,8,32,6.81338
3,8,32,6.81264
4,8,32,6.77392
5,8,32,6.77632
6,8,32,6.96438
7,8,32,7.04544
8,8,32,7.12042
9,8,32,6.92397
10,8,32,6.78429
11,8,32,7.08925
12,8,32,7.13162
13,8,32,7.30902
14,8,32,7.13843
15,8,32,7.20666
16,8,32,6.77366
17,8,32,6.73053
18,8,32,12.6617
19,8,32,8.06598
20,8,32,7.2049
21,8,32,8.37648
22,8,32,11.6423
23,8,32,8.93875
24,8,32,9.94496
0,8,64,3.75562
1,8,64,3.78214
2,8,64,3.5519
3,8,64,3.62595
4,8,64,3.69213
5,8,64,3.92109
6,8,64,3.75709
7,8,64,3.7759
8,8,64,3.532
9,8,64,3.40016
10,8,64,3.48918
11,8,64,3.43354
12,8,64,3.42054
13,8,64,3.42109
14,8,64,3.39798
15,8,64,3.44355
16,8,64,3.40493
17,8,64,3.42048
18,8,64,3.39318
19,8,64,3.46794
20,8,64,3.75645
21,8,64,3.63872
22,8,64,3.40637
23,8,64,3.47299
24,8,64,3.45546
0,8,128,1.72909
1,8,128,1.94691
2,8,128,1.74589
3,8,128,2.0897
4,8,128,1.73514
5,8,128,1.72595
6,8,128,1.87082
7,8,128,1.72973
8,8,128,1.72954
9,8,128,1.72368
10,8,128,1.72195
11,8,128,1.71792
12,8,128,1.71302
13,8,128,1.72749
14,8,128,1.71958
15,8,128,1.72797
16,8,128,1.71274
17,8,128,1.72675
18,8,128,1.71242
19,8,128,1.72304
20,8,128,1.73053
21,8,128,1.71267
22,8,128,1.72458
23,8,128,1.72893
24,8,128,1.71568
0,8,256,0.891296
1,8,256,0.88512
2,8,256,0.901088
3,8,256,0.88576
4,8,256,0.998816
5,8,256,0.985152
6,8,256,0.988
7,8,256,0.980512
8,8,256,1.01725
9,8,256,0.999776
10,8,256,0.981088
11,8,256,0.986496
12,8,256,1.03264
13,8,256,0.988288
14,8,256,0.998176
15,8,256,0.98912
16,8,256,0.981216
17,8,256,0.997216
18,8,256,0.899648
19,8,256,0.887744
20,8,256,0.892512
21,8,256,0.898688
22,8,256,0.913536
23,8,256,0.887104
24,8,256,0.914112
0,8,512,0.490464
1,8,512,0.490944
2,8,512,0.490944
3,8,512,0.49568
4,8,512,0.4944
5,8,512,0.48832
6,8,512,0.490336
7,8,512,0.490752
8,8,512,0.491168
9,8,512,0.4896
10,8,512,0.501824
11,8,512,0.50512
12,8,512,0.490784
13,8,512,0.489792
14,8,512,0.491488
15,8,512,0.488544
16,8,512,0.488256
17,8,512,0.503904
18,8,512,0.504864
19,8,512,0.498496
20,8,512,0.500256
21,8,512,0.503264
22,8,512,0.487136
23,8,512,0.50896
24,8,512,0.503104
0,16,32,3.46848
1,16,32,3.42454
2,16,32,3.42154
3,16,32,3.436
4,16,32,3.43005
5,16,32,3.43376
6,16,32,3.4207
7,16,32,3.43523
8,16,32,3.42134
9,16,32,3.4257
10,16,32,3.42611
11,16,32,3.43987
12,16,32,3.62938
13,16,32,3.42819
14,16,32,3.71731
