nrun,num_blocks,num_threads_per_block,taukern
0,8,32,8.3423
1,8,32,8.5681
2,8,32,8.74333
3,8,32,8.75149
4,8,32,8.50998
5,8,32,8.36515
6,8,32,8.36093
7,8,32,8.32605
8,8,32,8.3624
9,8,32,8.32221
10,8,32,8.35043
11,8,32,8.67142
12,8,32,8.69638
13,8,32,8.54518
14,8,32,8.35274
15,8,32,8.33971
16,8,32,8.33978
17,8,32,8.65798
18,8,32,8.95555
19,8,32,8.79306
20,8,32,8.77251
21,8,32,8.49322
22,8,32,8.6471
23,8,32,9.12938
24,8,32,8.46326
0,8,64,5.37619
1,8,64,5.43789
2,8,64,5.64122
3,8,64,5.54912
4,8,64,5.09709
5,8,64,4.97411
6,8,64,5.00333
7,8,64,5.148
8,8,64,4.97866
9,8,64,5.32579
10,8,64,5.16051
11,8,64,4.95926
12,8,64,4.96954
13,8,64,4.97562
14,8,64,4.97766
15,8,64,4.95101
16,8,64,4.95971
17,8,64,4.96454
18,8,64,5.3471
19,8,64,5.47837
20,8,64,4.96816
21,8,64,5.40374
22,8,64,5.2639
23,8,64,5.27142
24,8,64,5.54736
0,8,128,2.88752
1,8,128,3.18413
2,8,128,3.48298
3,8,128,3.39405
4,8,128,3.43274
5,8,128,3.09683
6,8,128,3.07126
7,8,128,3.42899
8,8,128,2.87414
9,8,128,3.39619
10,8,128,3.47133
11,8,128,3.43866
12,8,128,3.14205
13,8,128,3.44522
14,8,128,3.4847
15,8,128,3.36752
16,8,128,3.28189
17,8,128,3.42621
18,8,128,3.13312
19,8,128,3.36973
20,8,128,3.26838
21,8,128,3.36342
22,8,128,3.23805
23,8,128,3.36899
24,8,128,3.27658
0,8,256,2.55549
1,8,256,2.46298
2,8,256,2.54778
3,8,256,2.2424
4,8,256,2.66813
5,8,256,2.52902
6,8,256,2.72867
7,8,256,2.64406
8,8,256,2.33683
9,8,256,2.70678
10,8,256,2.64218
11,8,256,2.76656
12,8,256,2.67549
13,8,256,2.30128
14,8,256,2.68099
15,8,256,2.67978
16,8,256,2.70778
17,8,256,2.50288
18,8,256,2.56198
19,8,256,2.67216
20,8,256,2.66515
21,8,256,2.3032
22,8,256,2.53405
23,8,256,2.54138
24,8,256,2.48915
0,8,512,2.64022
1,8,512,2.05376
2,8,512,2.08858
3,8,512,2.65914
4,8,512,2.05498
5,8,512,2.48493
6,8,512,2.51078
7,8,512,2.0887
8,8,512,2.54163
9,8,512,2.63696
10,8,512,2.08141
11,8,512,2.56234
12,8,512,2.48483
13,8,512,2.1192
14,8,512,2.33462
15,8,512,2.35302
16,8,512,2.12144
17,8,512,2.34051
18,8,512,2.32598
19,8,512,2.50832
20,8,512,2.46605
21,8,512,2.0623
22,8,512,2.52861
23,8,512,2.468
24,8,512,2.08224
0,16,32,5.68157
1,16,32,5.00112
2,16,32,5.18554
3,16,32,5.00637
4,16,32,4.99472
5,16,32,4.98288
6,16,32,4.97194
7,16,32,4.97693
8,16,32,5.03622
9,16,32,4.9969
10,16,32,5.02413
11,16,32,5.00413
12,16,32,5.10256
13,16,32,4.9792
14,16,32,4.93222
15,16,32,5.31574
16,16,32,5.58746
17,16,32,5.43562
18,16,32,5.11171
19,16,32,5.48813
20,16,32,5.3871
21,16,32,5.57674
22,16,32,5.43187
23,16,32,5.34208
24,16,32,5.38877
0,16,64,3.39638
1,16,64,3.9889
2,16,64,2.92134
3,16,64,3.38573
4,16,64,3.17203
5,16,64,2.88704
6,16,64,3.44368
7,16,64,2.8913
8,16,64,3.43277
9,16,64,2.89462
10,16,64,3.39968
11,16,64,2.90502
12,16,64,3.42243
13,16,64,2.90464
14,16,64,3.42902
15,16,64,2.90326
16,16,64,3.15491
17,16,64,2.88077
18,16,64,3.13773
19,16,64,2.88784
20,16,64,3.34787
21,16,64,3.24102
22,16,64,3.33824
23,16,64,3.26707
24,16,64,3.77693
0,16,128,2.57021
1,16,128,2.46816
2,16,128,2.43808
3,16,128,2.75638
4,16,128,2.26784
5,16,128,2.43709
6,16,128,2.85158
7,16,128,2.2728
8,16,128,2.46064
9,16,128,2.85075
10,16,128,2.26141
11,16,128,2.57398
12,16,128,2.63459
13,16,128,2.72717
14,16,128,2.45389
15,16,128,2.53741
16,16,128,2.7871
17,16,128,2.64
18,16,128,2.67546
19,16,128,2.46653
20,16,128,2.5255
21,16,128,2.69792
22,16,128,2.67968
23,16,128,2.6713
24,16,128,2.28403
0,16,256,2.0753
1,16,256,2.08202
2,16,256,2.50694
3,16,256,2.44912
4,16,256,2.11098
5,16,256,2.25664
6,16,256,2.46522
7,16,256,2.07955
8,16,256,2.32768
9,16,256,2.32883
10,16,256,2.09174
11,16,256,2.33718
12,16,256,2.0496
13,16,256,2.48749
14,16,256,2.07779
15,16,256,2.30198
16,16,256,2.49978
17,16,256,2.07891
18,16,256,2.32032
19,16,256,2.5295
20,16,256,2.2329
21,16,256,2.07718
22,16,256,2.26538
23,16,256,2.31299
24,16,256,2.08045
0,16,512,2.62042
1,16,512,2.09722
2,16,512,2.52141
3,16,512,2.39965
4,16,512,2.05866
5,16,512,2.46496
6,16,512,2.47389
7,16,512,2.0496
8,16,512,2.0369
9,16,512,2.01072
10,16,512,1.97661
11,16,512,2.65869
12,16,512,2.02259
13,16,512,2.05328
14,16,512,2.63875
15,16,512,2.04384
16,16,512,2.51632
17,16,512,2.64291
18,16,512,2.06739
19,16,512,2.44816
20,16,512,2.40211
21,16,512,2.02803
22,16,512,2.46461
23,16,512,2.3904
24,16,512,2.02582
0,32,32,2.8689
1,32,32,3.33021
2,32,32,3.28112
3,32,32,3.34086
4,32,32,3.28726
5,32,32,3.32397
6,32,32,3.29584
7,32,32,3.07984
8,32,32,3.16685
9,32,32,3.0433
10,32,32,3.18931
11,32,32,3.28576
12,32,32,3.27434
13,32,32,3.08291
14,32,32,3.1297
15,32,32,3.04922
16,32,32,3.12298
17,32,32,3.32704
18,32,32,3.30125
19,32,32,3.32634
20,32,32,3.27286
21,32,32,3.33389
22,32,32,3.31501
23,32,32,3.03997
24,32,32,2.90998
0,32,64,2.27917
1,32,64,2.30618
2,32,64,2.30166
3,32,64,2.31171
4,32,64,2.3383
5,32,64,2.34589
6,32,64,2.32806
7,32,64,2.30912
8,32,64,2.32934
9,32,64,2.2865
10,32,64,2.33699
11,32,64,2.37216
12,32,64,2.36742
13,32,64,2.32669
14,32,64,2.31184
15,32,64,2.33206
16,32,64,2.31808
17,32,64,2.3727
18,32,64,2.31258
19,32,64,2.29805
20,32,64,2.35155
21,32,64,2.29107
22,32,64,2.44282
23,32,64,2.36614
24,32,64,2.3535
0,32,128,2.09014
1,32,128,2.23482
2,32,128,2.2177
3,32,128,2.20509
4,32,128,2.05754
5,32,128,2.10941
6,32,128,2.51526
7,32,128,2.15568
8,32,128,2.25667
9,32,128,2.1951
10,32,128,2.13485
11,32,128,2.09306
12,32,128,2.12253
13,32,128,2.06243
14,32,128,2.09731
15,32,128,2.09101
16,32,128,2.05878
17,32,128,2.07834
18,32,128,2.09494
19,32,128,2.0737
20,32,128,2.10438
21,32,128,2.04269
22,32,128,2.09789
23,32,128,2.08963
24,32,128,2.1049
0,32,256,2.13114
1,32,256,2.01504
2,32,256,2.04909
3,32,256,2.03123
4,32,256,2.04387
5,32,256,2.03382
6,32,256,2.06138
7,32,256,2.04211
8,32,256,2.02131
9,32,256,1.99379
10,32,256,2.04618
11,32,256,2.01482
12,32,256,2.05178
13,32,256,2.0088
14,32,256,2.00656
15,32,256,2.02406
16,32,256,2.03238
17,32,256,2.06438
18,32,256,2.01482
19,32,256,2.00381
20,32,256,2.06237
21,32,256,1.97088
22,32,256,2.01357
23,32,256,2.02819
24,32,256,2.04154
0,32,512,2.39587
1,32,512,2.48208
2,32,512,2.37555
3,32,512,2.41718
4,32,512,2.4592
5,32,512,2.40797
6,32,512,2.51024
7,32,512,2.47258
8,32,512,2.44682
9,32,512,2.40304
10,32,512,2.46874
11,32,512,2.44189
12,32,512,2.38518
13,32,512,2.41667
14,32,512,2.40883
15,32,512,2.39773
16,32,512,2.46512
17,32,512,2.38995
18,32,512,2.43821
19,32,512,2.41446
20,32,512,2.65651
21,32,512,2.41923
22,32,512,2.43965
23,32,512,2.37914
24,32,512,2.51152
0,64,32,2.31661
1,64,32,2.30518
2,64,32,2.33571
3,64,32,2.35552
4,64,32,2.31821
5,64,32,2.29466
6,64,32,2.32266
7,64,32,2.28362
8,64,32,2.29456
9,64,32,2.28474
10,64,32,2.33085
11,64,32,2.30621
12,64,32,2.31069
13,64,32,2.29939
14,64,32,2.33987
15,64,32,2.28666
16,64,32,2.31274
17,64,32,2.31632
18,64,32,2.35171
19,64,32,2.29635
20,64,32,2.31293
21,64,32,2.31491
22,64,32,2.27424
23,64,32,2.34976
24,64,32,2.33229
0,64,64,2.08838
1,64,64,2.12976
2,64,64,2.08362
3,64,64,2.08538
4,64,64,2.09773
5,64,64,2.08653
6,64,64,2.10858
7,64,64,2.10758
8,64,64,2.06819
9,64,64,2.07958
10,64,64,2.12451
11,64,64,2.09382
12,64,64,2.07786
13,64,64,2.07568
14,64,64,2.10192
15,64,64,2.0625
16,64,64,2.08739
17,64,64,2.09952
18,64,64,2.07958
19,64,64,2.09312
20,64,64,2.08986
21,64,64,2.08189
22,64,64,2.08768
23,64,64,2.08653
24,64,64,2.11098
0,64,128,2.06461
1,64,128,2.14579
2,64,128,2.12579
3,64,128,2.14752
4,64,128,2.18221
5,64,128,2.13702
6,64,128,2.33562
7,64,128,2.01379
8,64,128,2.06038
9,64,128,1.9849
10,64,128,2.02806
11,64,128,2.08515
12,64,128,1.98006
13,64,128,2.01168
14,64,128,1.9784
15,64,128,2.01872
16,64,128,1.98448
17,64,128,2.00445
18,64,128,2.03712
19,64,128,2.00285
20,64,128,2.01862
21,64,128,2.07926
22,64,128,2.0281
23,64,128,2.03142
24,64,128,2.02176
0,64,256,2.3377
1,64,256,2.32256
2,64,256,2.3969
3,64,256,2.4377
4,64,256,2.36842
5,64,256,2.36211
6,64,256,2.35952
7,64,256,2.34477
8,64,256,2.35709
9,64,256,2.34851
10,64,256,2.39117
11,64,256,2.4263
12,64,256,2.40138
13,64,256,2.3888
14,64,256,2.40003
15,64,256,2.33318
16,64,256,2.35946
17,64,256,2.39782
18,64,256,2.38573
19,64,256,2.33712
20,64,256,2.38326
21,64,256,2.41418
22,64,256,2.34835
23,64,256,2.42915
24,64,256,2.42842
0,64,512,2.42902
1,64,512,2.48122
2,64,512,2.40864
3,64,512,2.43136
4,64,512,2.4129
5,64,512,2.38438
6,64,512,2.4431
7,64,512,2.47213
8,64,512,2.42707
9,64,512,2.5103
10,64,512,2.43958
11,64,512,2.40829
12,64,512,2.44442
13,64,512,2.4425
14,64,512,2.35594
15,64,512,2.45683
16,64,512,2.47411
17,64,512,2.42339
18,64,512,2.4615
19,64,512,2.40269
20,64,512,2.42406
21,64,512,2.52336
22,64,512,2.38902
23,64,512,2.42781
24,64,512,2.44269
0,128,32,2.14589
1,128,32,2.12253
2,128,32,2.088
3,128,32,2.11718
4,128,32,2.13584
5,128,32,2.09277
6,128,32,2.14298
7,128,32,2.11952
8,128,32,2.08256
9,128,32,2.11232
10,128,32,2.15315
11,128,32,2.05622
12,128,32,2.1281
13,128,32,2.7872
14,128,32,2.09302
15,128,32,2.48586
16,128,32,2.08227
17,128,32,2.14922
18,128,32,2.08298
19,128,32,2.07024
20,128,32,2.14374
21,128,32,2.10016
22,128,32,2.13338
23,128,32,2.08138
24,128,32,2.14346
0,128,64,2.04675
1,128,64,2.11776
2,128,64,2.0247
3,128,64,2.07139
4,128,64,2.08518
5,128,64,2.05594
6,128,64,2.0881
7,128,64,2.05251
8,128,64,2.09715
9,128,64,2.05264
10,128,64,2.17968
11,128,64,2.17898
12,128,64,2.19251
13,128,64,2.12656
14,128,64,2.27082
15,128,64,2.29715
16,128,64,2.18317
17,128,64,2.17146
18,128,64,2.08176
19,128,64,2.18173
