num_run,N,host_runtime [ms]
1.0,8192.0,53406.849
32.0,8192.0,41888.437
18.0,8192.0,48758.488
31.0,8192.0,43223.200000000004
23.0,8192.0,52080.516
15.0,8192.0,51897.629
4.0,8192.0,51618.567
11.0,8192.0,55323.648
7.0,8192.0,49452.851
6.0,8192.0,48599.787000000004
26.0,8192.0,42781.205
12.0,8192.0,56281.408
28.0,8192.0,43446.674
21.0,8192.0,54576.969000000005
22.0,8192.0,50279.596
5.0,8192.0,50408.877
14.0,8192.0,55011.426
24.0,8192.0,51366.083
9.0,8192.0,50479.724
19.0,8192.0,55717.448000000004
2.0,8192.0,54422.551
17.0,8192.0,47644.137
27.0,8192.0,45587.596
29.0,8192.0,44028.692
25.0,8192.0,52599.672
30.0,8192.0,43163.451
20.0,8192.0,54561.398
16.0,8192.0,50675.617
13.0,8192.0,59766.236000000004
8.0,8192.0,51483.26
10.0,8192.0,49584.362
3.0,8192.0,50051.129
