N,Nx,nrun,runtime
134217728,2048,3,23.178964385
134217728,2048,10,23.111849436
134217728,2048,2,23.012113636
134217728,2048,15,23.080800511
134217728,2048,20,22.985508556
134217728,2048,16,23.085420248
134217728,2048,25,23.169810153
134217728,2048,21,23.116385864
134217728,2048,23,22.990105009
134217728,4096,22,25.321136192
134217728,4096,18,25.307277841
134217728,4096,8,25.377042821
134217728,4096,7,25.312299942
134217728,4096,24,25.325826426
134217728,4096,14,25.521800396
134217728,4096,5,25.395836224
134217728,4096,4,25.307519252
134217728,4096,13,25.284012899
134217728,4096,1,25.204114142
134217728,4096,19,25.307171175
134217728,4096,11,25.493277704
134217728,4096,12,25.424261379
134217728,4096,6,25.282532824
134217728,4096,9,25.352233047
134217728,4096,17,25.329001137
134217728,4096,3,25.307138428
134217728,4096,10,25.328795838
134217728,4096,2,25.264822184
134217728,4096,15,25.398187942
134217728,4096,20,25.323754391
134217728,4096,16,25.381233293
134217728,4096,25,25.352899511
134217728,4096,21,25.339524964
134217728,4096,23,25.360834008
134217728,8192,22,27.716164122
134217728,8192,18,27.814713466
134217728,8192,8,27.801084321
134217728,8192,7,27.75170649
134217728,8192,24,27.736822433
134217728,8192,14,27.742337018
134217728,8192,5,27.727530864
134217728,8192,4,27.700549614
134217728,8192,13,27.762693854
134217728,8192,1,27.716594063
134217728,8192,19,27.652850262
134217728,8192,11,27.726119331
134217728,8192,12,27.683597027
134217728,8192,6,27.716189398
134217728,8192,9,27.73885185
134217728,8192,17,27.778785244
134217728,8192,3,27.807985404
134217728,8192,10,27.748829262
134217728,8192,2,27.723642022
134217728,8192,15,27.776763448
134217728,8192,20,27.768083491
134217728,8192,16,27.750396622
134217728,8192,25,27.752474602
134217728,8192,21,27.787014488
134217728,8192,23,27.762252303
134217728,16384,22,29.864143713
134217728,16384,18,30.015880746
134217728,16384,8,29.93350011
134217728,16384,7,30.028499164
134217728,16384,24,29.902756842
134217728,16384,14,30.019088069
134217728,16384,5,30.309390867
134217728,16384,4,30.211404444
134217728,16384,13,30.095494309
134217728,16384,1,30.020986451
134217728,16384,19,30.043263674
134217728,16384,11,30.010344417
134217728,16384,12,29.934196506
134217728,16384,6,30.093138085
134217728,16384,9,30.18269043
134217728,16384,17,30.176667825
134217728,16384,3,30.003350355
134217728,16384,10,29.903463088
134217728,16384,2,30.449961529
134217728,16384,15,30.260165974
134217728,16384,20,30.354337436
134217728,16384,16,30.010379715
134217728,16384,25,30.1169821
134217728,16384,21,29.855633482
134217728,16384,23,29.870781461
134217728,65536,22,36.66974239
134217728,65536,18,37.186898619
134217728,65536,8,37.188685616
134217728,65536,7,36.750065088
134217728,65536,24,36.782145252
134217728,65536,14,37.386883446
134217728,65536,5,36.893316289
134217728,65536,4,36.904366704
134217728,65536,13,38.488010631
134217728,65536,1,37.055031383
134217728,65536,19,36.974590028
134217728,65536,11,37.025331791
134217728,65536,12,36.976529854
134217728,65536,6,37.841620525
134217728,65536,9,36.887408479
134217728,65536,17,37.290864193
134217728,65536,3,36.914260747
134217728,65536,10,37.616981525
134217728,65536,2,37.112216653
134217728,65536,15,37.36035966
134217728,65536,20,38.267540454
134217728,65536,16,37.531445984
134217728,65536,25,36.823344105
134217728,65536,21,36.892771601
134217728,65536,23,37.19518674
134217728,2097152,22,65.53975832
134217728,2097152,18,64.998239918
134217728,2097152,8,66.671722896
134217728,2097152,7,71.347224649
134217728,2097152,24,65.499523807
134217728,2097152,14,65.574954586
134217728,2097152,5,68.216991184
134217728,2097152,4,69.765650139
134217728,2097152,13,66.343660193
134217728,2097152,1,71.545698343
134217728,2097152,19,65.852925515
134217728,2097152,11,65.486509019
134217728,2097152,12,65.910042754
