N,Nx,nrun,runtime
32768,1048576,22,0.018424266
32768,1048576,18,0.018481714
32768,1048576,8,0.018331771
32768,1048576,7,0.018447697
32768,1048576,24,0.018370708
32768,1048576,14,0.018274855
32768,1048576,5,0.018448102
32768,1048576,4,0.018360985
32768,1048576,13,0.018300447
32768,1048576,1,0.018532272
32768,1048576,19,0.018556659
32768,1048576,11,0.018287557
32768,1048576,12,0.018354956
32768,1048576,6,0.018359292
32768,1048576,9,0.018144867
32768,1048576,17,0.0187362
32768,1048576,3,0.019005845
32768,1048576,10,0.018459772
32768,1048576,2,0.018532803
32768,1048576,15,0.018412896
32768,1048576,20,0.018325527
32768,1048576,16,0.018366579
32768,1048576,25,0.018328656
32768,1048576,21,0.018286398
32768,1048576,23,0.018227737
32768,16777216,22,0.089851853
32768,16777216,18,0.089268483
32768,16777216,8,0.08957897
32768,16777216,7,0.089577362
32768,16777216,24,0.089369755
32768,16777216,14,0.090213919
32768,16777216,5,0.089296643
32768,16777216,4,0.089702125
32768,16777216,13,0.089609451
32768,16777216,1,0.089394991
32768,16777216,19,0.089816662
32768,16777216,11,0.089753052
32768,16777216,12,0.090160595
32768,16777216,6,0.090966061
32768,16777216,9,0.089731948
32768,16777216,17,0.089831028
32768,16777216,3,0.08975699
32768,16777216,10,0.090087192
32768,16777216,2,0.089745487
32768,16777216,15,0.089530673
32768,16777216,20,0.089814311
32768,16777216,16,0.089443554
32768,16777216,25,0.089205785
32768,16777216,21,0.090021213
32768,16777216,23,0.089261061
32768,4194304,22,0.037557386
32768,4194304,18,0.037591849
32768,4194304,8,0.039002607
32768,4194304,7,0.038316798
32768,4194304,24,0.038141906
32768,4194304,14,0.037816628
32768,4194304,5,0.037403761
32768,4194304,4,0.037715929
32768,4194304,13,0.037285664
32768,4194304,1,0.037538821
32768,4194304,19,0.038338577
32768,4194304,11,0.038078614
32768,4194304,12,0.037894045
32768,4194304,6,0.037884785
32768,4194304,9,0.037747978
32768,4194304,17,0.03784407
32768,4194304,3,0.037938337
32768,4194304,10,0.039103213
32768,4194304,2,0.037987734
32768,4194304,15,0.037353581
32768,4194304,20,0.037364309
32768,4194304,16,0.037817762
32768,4194304,25,0.038027942
32768,4194304,21,0.037958553
32768,4194304,23,0.039389013
32768,131072,22,0.011544398
32768,131072,18,0.012362151
32768,131072,8,0.012374489
32768,131072,7,0.012356972
32768,131072,24,0.012030983
32768,131072,14,0.011582086
32768,131072,5,0.012470448
32768,131072,4,0.012513219
32768,131072,13,0.012119163
32768,131072,1,0.012347678
32768,131072,19,0.012419393
32768,131072,11,0.012314597
32768,131072,12,0.012407767
32768,131072,6,0.01229425
32768,131072,9,0.012357062
32768,131072,17,0.01243213
32768,131072,3,0.012423134
32768,131072,10,0.012390859
32768,131072,2,0.01241526
32768,131072,15,0.011436977
32768,131072,20,0.01341156
32768,131072,16,0.012348099
32768,131072,25,0.011318316
32768,131072,21,0.012266888
32768,131072,23,0.011680622
32768,16384,22,0.012163518
32768,16384,18,0.012058892
32768,16384,8,0.012208961
32768,16384,7,0.012023086
32768,16384,24,0.012011983
32768,16384,14,0.012026354
32768,16384,5,0.012078218
32768,16384,4,0.012003199
32768,16384,13,0.01210886
32768,16384,1,0.008643865
32768,16384,19,0.01215544
32768,16384,11,0.012133626
32768,16384,12,0.011883283
32768,16384,6,0.012353743
32768,16384,9,0.012158228
32768,16384,17,0.011939996
32768,16384,3,0.00926348
32768,16384,10,0.011830202
32768,16384,2,0.008718871
32768,16384,15,0.012095233
32768,16384,20,0.012006262
32768,16384,16,0.012014634
32768,16384,25,0.012047227
32768,16384,21,0.011900012
32768,16384,23,0.01195895
32768,262144,22,0.012866623
32768,262144,18,0.013196216
32768,262144,8,0.01378152
32768,262144,7,0.014120719
32768,262144,24,0.013055443
32768,262144,14,0.013910109
32768,262144,5,0.014000558
32768,262144,4,0.013817305
32768,262144,13,0.013930163
32768,262144,1,0.012880099
32768,262144,19,0.01281159
32768,262144,11,0.01395636
32768,262144,12,0.013923333
32768,262144,6,0.014089225
32768,262144,9,0.013266539
32768,262144,17,0.015794371
32768,262144,3,0.01379897
32768,262144,10,0.013948248
32768,262144,2,0.013848622
32768,262144,15,0.037707712
32768,262144,20,0.012859187
32768,262144,16,0.020998577
32768,262144,25,0.012818549
32768,262144,21,0.013297229
32768,262144,23,0.012952387
32768,33554432,22,0.150879865
32768,33554432,18,0.149007283
32768,33554432,8,0.15087076
32768,33554432,7,0.148697258
32768,33554432,24,0.150095143
32768,33554432,14,0.149944082
32768,33554432,5,0.149996723
32768,33554432,4,0.148663877
32768,33554432,13,0.150408526
