num_run,N,host_runtime [ms]
1.0,64.0,0.17200000000000001
22.0,64.0,0.157
8.0,64.0,0.154
32.0,64.0,0.137
5.0,64.0,0.182
19.0,64.0,0.168
2.0,64.0,0.185
18.0,64.0,0.18
31.0,64.0,0.14400000000000002
17.0,64.0,0.13
7.0,64.0,0.209
16.0,64.0,0.14300000000000002
30.0,64.0,0.151
26.0,64.0,0.171
15.0,64.0,0.198
24.0,64.0,0.145
23.0,64.0,0.183
14.0,64.0,0.178
6.0,64.0,0.181
29.0,64.0,0.184
28.0,64.0,0.2
13.0,64.0,0.137
12.0,64.0,0.162
4.0,64.0,0.23
11.0,64.0,0.151
3.0,64.0,0.165
25.0,64.0,0.155
10.0,64.0,0.167
27.0,64.0,0.166
20.0,64.0,0.136
9.0,64.0,0.16
21.0,64.0,0.116
