num_run,N,host_runtime [ms]
1.0,16.0,0.168
9.0,16.0,0.152
20.0,16.0,0.127
31.0,16.0,0.137
10.0,16.0,0.155
21.0,16.0,0.146
32.0,16.0,0.128
11.0,16.0,0.167
8.0,16.0,0.14300000000000002
22.0,16.0,0.164
12.0,16.0,0.129
23.0,16.0,0.14
3.0,16.0,0.187
5.0,16.0,0.14
13.0,16.0,0.186
24.0,16.0,0.139
14.0,16.0,0.133
25.0,16.0,0.132
7.0,16.0,0.14400000000000002
15.0,16.0,0.14300000000000002
26.0,16.0,0.17400000000000002
16.0,16.0,0.167
27.0,16.0,0.167
17.0,16.0,0.147
28.0,16.0,0.138
18.0,16.0,0.137
29.0,16.0,0.183
4.0,16.0,0.14400000000000002
19.0,16.0,0.113
6.0,16.0,0.167
2.0,16.0,0.183
30.0,16.0,0.165
