N,Nx,nrun,runtime
33554432,4096,22,6.333861002
33554432,4096,18,6.328571735
33554432,4096,8,6.3223084
33554432,4096,7,6.341041042
33554432,4096,24,6.335003758
33554432,4096,14,6.326330572
33554432,4096,5,6.370064227
33554432,4096,4,6.325994249
33554432,4096,13,6.322715148
33554432,4096,1,6.348865394
33554432,4096,19,6.333656173
33554432,4096,11,6.33659883
33554432,4096,12,6.335384908
33554432,4096,6,6.340828914
33554432,4096,9,6.341349291
33554432,4096,17,6.316714551
33554432,4096,3,6.336186855
33554432,4096,10,6.336912677
33554432,4096,2,6.34170937
33554432,4096,15,6.354233469
33554432,4096,20,6.341037161
33554432,4096,16,6.326478926
33554432,4096,25,6.354107733
33554432,4096,21,6.334730369
33554432,4096,23,6.332056136
33554432,8192,22,6.964441295
33554432,8192,18,6.957337998
33554432,8192,8,6.998017124
33554432,8192,7,6.910099179
33554432,8192,24,6.954980769
33554432,8192,14,6.948018513
33554432,8192,5,6.94552064
33554432,8192,4,6.926922384
33554432,8192,13,6.960852698
33554432,8192,1,6.951954207
33554432,8192,19,6.967071142
33554432,8192,11,6.924077516
33554432,8192,12,7.058349411
33554432,8192,6,6.906303821
33554432,8192,9,6.956766183
33554432,8192,17,6.946703734
33554432,8192,3,6.95428785
33554432,8192,10,6.964725222
33554432,8192,2,6.941050737
33554432,8192,15,6.952226759
33554432,8192,20,6.979157111
33554432,8192,16,6.92796211
33554432,8192,25,6.945372225
33554432,8192,21,6.968521291
33554432,8192,23,6.929493805
33554432,8388608,22,23.793019989
33554432,8388608,18,23.832719907
33554432,8388608,8,23.699255284
33554432,8388608,7,23.803220211
33554432,8388608,24,23.913337152
33554432,8388608,14,23.972288502
33554432,8388608,5,23.668291128
33554432,8388608,4,23.847291855
33554432,8388608,13,24.097536122
33554432,8388608,1,23.788749682
33554432,8388608,19,24.002595484
33554432,8388608,11,23.725458757
33554432,8388608,12,23.81218113
33554432,8388608,6,23.868426665
33554432,8388608,9,23.804626427
33554432,8388608,17,23.989371062
33554432,8388608,3,23.855466305
33554432,8388608,10,24.131408266
33554432,8388608,2,23.71332434
33554432,8388608,15,23.818414592
33554432,8388608,20,23.67695213
33554432,8388608,16,23.817968647
33554432,8388608,25,23.749635009
33554432,8388608,21,23.792747645
33554432,8388608,23,23.73257494
33554432,2097152,22,16.546704075
33554432,2097152,18,16.362007323
33554432,2097152,8,16.485463726
33554432,2097152,7,16.462328048
33554432,2097152,24,16.549830427
33554432,2097152,14,16.425355671
33554432,2097152,5,16.354525052
33554432,2097152,4,16.594820722
33554432,2097152,13,16.287682361
33554432,2097152,1,16.503327654
33554432,2097152,19,16.383532005
33554432,2097152,11,16.392922119
33554432,2097152,12,16.426439758
33554432,2097152,6,16.451647618
33554432,2097152,9,16.355414762
33554432,2097152,17,16.249455096
33554432,2097152,3,16.53494582
33554432,2097152,10,16.5151507
33554432,2097152,2,16.499164746
33554432,2097152,15,16.423492029
33554432,2097152,20,16.540333024
33554432,2097152,16,16.399415767
33554432,2097152,25,16.448392172
33554432,2097152,21,16.520777751
33554432,2097152,23,16.530549185
33554432,32768,22,8.153857813
33554432,32768,18,8.154685987
33554432,32768,8,8.324189407
33554432,32768,7,8.371937469
33554432,32768,24,8.223996815
33554432,32768,14,8.215283291
33554432,32768,5,8.248154539
33554432,32768,4,8.219346877
33554432,32768,13,8.290106765
33554432,32768,1,8.255853223
33554432,32768,19,8.217045836
33554432,32768,11,8.224768871
33554432,32768,12,8.297335274
33554432,32768,6,8.3081523
33554432,32768,9,8.188271977
33554432,32768,17,8.210063494
33554432,32768,3,8.251261922
33554432,32768,10,8.243538701
33554432,32768,2,8.328942399
33554432,32768,15,8.226165257
33554432,32768,20,8.266216913
33554432,32768,16,8.268441176
33554432,32768,25,8.249789733
33554432,32768,21,8.216831702
33554432,32768,23,8.192949154
33554432,2048,22,5.793600958
33554432,2048,18,5.771639912
33554432,2048,8,5.790303381
33554432,2048,7,5.781371627
33554432,2048,24,5.794218586
33554432,2048,14,5.781394255
33554432,2048,5,5.792433439
33554432,2048,4,5.791926898
33554432,2048,13,5.790489547
33554432,2048,1,5.799160158
33554432,2048,19,5.813954187
33554432,2048,11,5.802574506
33554432,2048,12,5.796201759
33554432,2048,6,5.807783236
33554432,2048,9,5.788739411
33554432,2048,17,5.760168958
33554432,2048,3,5.798285934
33554432,2048,10,5.798659939
33554432,2048,2,5.788643763
33554432,2048,15,5.78593631
33554432,2048,20,5.793391394
33554432,2048,16,5.795999424
33554432,2048,25,5.798014091
33554432,2048,21,5.785591667
33554432,2048,23,5.781529153
33554432,65536,22,9.252640018
33554432,65536,18,9.216954355
33554432,65536,8,9.239595759
33554432,65536,7,9.449754449
33554432,65536,24,9.224184998
33554432,65536,14,9.324163803
33554432,65536,5,9.233383615
33554432,65536,4,9.313506668
33554432,65536,13,9.219154377
33554432,65536,1,9.285982995
33554432,65536,19,9.185644242
33554432,65536,11,9.472387118
33554432,65536,12,9.24378369
33554432,65536,6,9.243021533
33554432,65536,9,9.238552938
33554432,65536,17,9.210171607
33554432,65536,3,9.246015052
33554432,65536,10,9.244589905
33554432,65536,2,9.327365403
33554432,65536,15,9.232648638
33554432,65536,20,9.255289896
33554432,65536,16,9.289916684
33554432,65536,25,9.222471458
33554432,65536,21,9.306030728
33554432,65536,23,9.221998843
33554432,16384,22,7.590802059
33554432,16384,18,7.630221051
33554432,16384,8,7.512902489
33554432,16384,7,7.54726157
33554432,16384,24,7.573104144
33554432,16384,14,7.652124386
33554432,16384,5,7.577541857
33554432,16384,4,7.498641863
33554432,16384,13,7.542363565
33554432,16384,1,7.525593674
33554432,16384,19,7.521998571
33554432,16384,11,7.530364013
33554432,16384,12,7.519783425
33554432,16384,6,7.55196562
33554432,16384,9,7.585161542
33554432,16384,17,7.556966801
33554432,16384,3,7.515817941
33554432,16384,10,7.59068995
33554432,16384,2,7.608555361
33554432,16384,15,7.58219501
33554432,16384,20,7.640301548
33554432,16384,16,7.654248237
33554432,16384,25,7.523696003
33554432,16384,21,7.545290422
33554432,16384,23,7.596215831
33554432,262144,22,11.028672611
33554432,262144,18,11.14596955
33554432,262144,8,11.110631608
33554432,262144,7,11.030207849
33554432,262144,24,11.054518201
33554432,262144,14,11.073676578
33554432,262144,5,11.041866473
33554432,262144,4,11.06773838
33554432,262144,13,11.148342086
33554432,262144,1,11.130114978
33554432,262144,19,11.138124418
33554432,262144,11,11.178005771
33554432,262144,12,11.12439127
33554432,262144,6,11.089942143
33554432,262144,9,11.136246707
33554432,262144,17,11.100987681
33554432,262144,3,11.059598232
33554432,262144,10,11.136612413
33554432,262144,2,11.044477196
33554432,262144,15,11.075790613
33554432,262144,20,11.089394189
33554432,262144,16,11.220829732
33554432,262144,25,11.124018148
33554432,262144,21,11.110029565
33554432,262144,23,11.126996645
33554432,33554432,22,29.583652017
33554432,33554432,18,29.515990592
33554432,33554432,8,29.821421128
33554432,33554432,7,29.683130669
33554432,33554432,24,29.642012991
33554432,33554432,14,29.486477502
33554432,33554432,5,29.438811186
33554432,33554432,4,29.438600563
