num_run,N,host_runtime [ms]
17.0,256.0,0.861
1.0,256.0,0.618
16.0,256.0,1.037
26.0,256.0,0.56
20.0,256.0,0.835
32.0,256.0,0.601
7.0,256.0,0.861
15.0,256.0,0.807
9.0,256.0,1.105
11.0,256.0,0.793
14.0,256.0,1.0070000000000001
2.0,256.0,1.204
27.0,256.0,0.651
10.0,256.0,0.6980000000000001
13.0,256.0,0.552
12.0,256.0,0.40700000000000003
28.0,256.0,0.9450000000000001
24.0,256.0,0.657
3.0,256.0,0.901
25.0,256.0,1.0010000000000001
4.0,256.0,1.024
19.0,256.0,0.737
22.0,256.0,0.747
23.0,256.0,0.737
6.0,256.0,1.029
18.0,256.0,1.0110000000000001
21.0,256.0,0.801
29.0,256.0,0.686
30.0,256.0,0.803
8.0,256.0,1.202
5.0,256.0,0.975
31.0,256.0,0.674
