N,Nx,nrun,runtime
8388608,16384,4,1.904853632
8388608,16384,13,1.909459914
8388608,16384,1,1.888097136
8388608,16384,19,1.897627721
8388608,16384,11,1.89325519
8388608,16384,12,1.890087944
8388608,16384,6,1.880191038
8388608,16384,9,1.905716327
8388608,16384,17,1.89288799
8388608,16384,3,1.883953195
8388608,16384,10,1.904045332
8388608,16384,2,1.897004321
8388608,16384,15,1.898130215
8388608,16384,20,1.907723643
8388608,16384,16,1.887127274
8388608,16384,25,1.924057775
8388608,16384,21,1.894135945
8388608,16384,23,1.893196978
8388608,2048,22,1.448939276
8388608,2048,18,1.449826423
8388608,2048,8,1.450464487
8388608,2048,7,1.450338201
8388608,2048,24,1.454345496
8388608,2048,14,1.46264617
8388608,2048,5,1.45792084
8388608,2048,4,1.459471908
8388608,2048,13,1.464576055
8388608,2048,1,1.456422552
8388608,2048,19,1.45217166
8388608,2048,11,1.448450567
8388608,2048,12,1.462947806
8388608,2048,6,1.451777805
8388608,2048,9,1.461887514
8388608,2048,17,1.450725045
8388608,2048,3,1.456574802
8388608,2048,10,1.457158776
8388608,2048,2,1.4649879
8388608,2048,15,1.450961345
8388608,2048,20,1.454293145
8388608,2048,16,1.459696774
8388608,2048,25,1.455829093
8388608,2048,21,1.456961268
8388608,2048,23,1.449869262
8388608,16777216,22,6.718082681
8388608,16777216,18,6.732011675
8388608,16777216,8,6.765513574
8388608,16777216,7,6.819502689
8388608,16777216,24,6.838016566
8388608,16777216,14,6.741383134
8388608,16777216,5,6.818903675
8388608,16777216,4,6.824052466
8388608,16777216,13,6.728193479
8388608,16777216,1,6.836782232
8388608,16777216,19,6.7452638
8388608,16777216,11,6.754083012
8388608,16777216,12,6.743665228
8388608,16777216,6,6.752824557
8388608,16777216,9,6.732733178
8388608,16777216,17,6.83465615
8388608,16777216,3,6.764335648
8388608,16777216,10,6.741437676
8388608,16777216,2,6.753766467
8388608,16777216,15,6.749855057
8388608,16777216,20,6.750451819
8388608,16777216,16,6.748817242
8388608,16777216,25,6.725442463
8388608,16777216,21,6.848930037
8388608,16777216,23,6.837117458
8388608,262144,22,2.780961264
8388608,262144,18,2.792372353
8388608,262144,8,2.769532059
8388608,262144,7,2.774425724
8388608,262144,24,2.777169466
8388608,262144,14,2.778889988
8388608,262144,5,2.790152065
8388608,262144,4,2.797908235
8388608,262144,13,2.788947064
8388608,262144,1,2.773965041
8388608,262144,19,2.775061292
8388608,262144,11,2.789635818
8388608,262144,12,2.765156722
8388608,262144,6,2.777962379
8388608,262144,9,2.796956481
8388608,262144,17,2.795171637
8388608,262144,3,2.772522935
8388608,262144,10,2.78721059
8388608,262144,2,2.776770717
8388608,262144,15,2.798815366
8388608,262144,20,2.790372816
8388608,262144,16,2.808315958
8388608,262144,25,2.779707595
8388608,262144,21,2.786542456
8388608,262144,23,2.770420418
8388608,131072,22,2.54933399
8388608,131072,18,2.550866522
8388608,131072,8,2.539736801
8388608,131072,7,2.549938715
8388608,131072,24,2.560797503
8388608,131072,14,2.552824362
8388608,131072,5,2.544809597
8388608,131072,4,2.527386177
8388608,131072,13,2.540637409
8388608,131072,1,2.575436969
8388608,131072,19,2.544312349
8388608,131072,11,2.549772553
8388608,131072,12,2.541566103
8388608,131072,6,2.53361154
8388608,131072,9,2.527950344
8388608,131072,17,2.540475192
8388608,131072,3,2.534822441
8388608,131072,10,2.571608567
8388608,131072,2,2.557950442
8388608,131072,15,2.53103553
8388608,131072,20,2.53944689
8388608,131072,16,2.537672587
8388608,131072,25,2.529075946
8388608,131072,21,2.549263537
8388608,131072,23,2.53798234
8388608,1048576,22,3.249515681
8388608,1048576,18,3.23162046
8388608,1048576,8,3.246704125
8388608,1048576,7,3.252973966
8388608,1048576,24,3.295085737
8388608,1048576,14,3.243190224
8388608,1048576,5,3.2231027
8388608,1048576,4,3.226150929
8388608,1048576,13,3.242826071
8388608,1048576,1,3.251389353
8388608,1048576,19,3.235738372
8388608,1048576,11,3.247508987
8388608,1048576,12,3.245332893
8388608,1048576,6,3.237622094
8388608,1048576,9,3.23530385
8388608,1048576,17,3.222533432
8388608,1048576,3,3.223705983
8388608,1048576,10,3.24685737
8388608,1048576,2,3.225317062
8388608,1048576,15,3.24308216
8388608,1048576,20,3.223601522
8388608,1048576,16,3.239722211
8388608,1048576,25,3.282349869
8388608,1048576,21,3.25710756
8388608,1048576,23,3.25985657
8388608,4194304,22,5.190229396
8388608,4194304,18,5.205835013
8388608,4194304,8,5.165063898
8388608,4194304,7,5.168298003
8388608,4194304,24,5.169522299
8388608,4194304,14,5.156982696
8388608,4194304,5,5.169999344
8388608,4194304,4,5.157613848
8388608,4194304,13,5.196870219
8388608,4194304,1,5.158460958
8388608,4194304,19,5.193532432
8388608,4194304,11,5.159619807
8388608,4194304,12,5.206935854
8388608,4194304,6,5.173689149
8388608,4194304,9,5.155593701
8388608,4194304,17,5.182749275
8388608,4194304,3,5.177939823
8388608,4194304,10,5.161056292
8388608,4194304,2,5.154033606
8388608,4194304,15,5.152362441
8388608,4194304,20,5.194749968
8388608,4194304,16,5.167345282
8388608,4194304,25,5.226273538
8388608,4194304,21,5.165132443
8388608,4194304,23,5.17187667
8388608,1024,22,1.319440031
8388608,1024,18,1.329980595
8388608,1024,8,1.334362114
8388608,1024,7,1.329340916
8388608,1024,24,1.333831435
8388608,1024,14,1.324911132
8388608,1024,5,1.329799583
8388608,1024,4,1.325589572
8388608,1024,13,1.326368757
8388608,1024,1,1.326886255
8388608,1024,19,1.339072031
8388608,1024,11,1.330078487
8388608,1024,12,1.323968563
8388608,1024,6,1.326232133
8388608,1024,9,1.32536407
8388608,1024,17,1.329475869
8388608,1024,3,1.329343391
8388608,1024,10,1.331690152
8388608,1024,2,1.330293511
8388608,1024,15,1.326059529
8388608,1024,20,1.321090853
8388608,1024,16,1.333512809
8388608,1024,25,1.331971408
8388608,1024,21,1.338950865
8388608,1024,23,1.327538071
8388608,33554432,22,7.536362179
8388608,33554432,18,7.495634396
8388608,33554432,8,7.543615161
8388608,33554432,7,7.597759147
8388608,33554432,24,7.472321599
8388608,33554432,14,7.504357204
8388608,33554432,5,7.480595937
8388608,33554432,4,7.468178848
