nrun,num_blocks,num_threads_per_block,taukern
0,8,32,7230.89
1,8,32,7228.17
2,8,32,7228.58
3,8,32,7229.86
4,8,32,7229.96
5,8,32,7230.2
6,8,32,7229.03
7,8,32,7229.56
8,8,32,7230.52
9,8,32,7229.72
10,8,32,7228.71
11,8,32,7229.98
12,8,32,7230.65
13,8,32,7230.65
14,8,32,7230.65
15,8,32,7230.65
16,8,32,7230.65
17,8,32,7230.65
18,8,32,7230.65
19,8,32,7230.65
20,8,32,7230.65
21,8,32,7230.65
22,8,32,7230.65
23,8,32,7230.65
24,8,32,7230.65
0,8,64,4146.15
1,8,64,4146.91
2,8,64,4148.36
3,8,64,4146.82
4,8,64,4147.06
5,8,64,4147.11
6,8,64,4148.1
7,8,64,4146.1
8,8,64,4146.43
9,8,64,4146.35
10,8,64,4148.01
11,8,64,4146.29
12,8,64,4161.19
13,8,64,4148.36
14,8,64,4151.9
15,8,64,4148.13
16,8,64,4148.42
17,8,64,4149.74
18,8,64,4149.11
19,8,64,4148.8
20,8,64,4150.21
21,8,64,4150.26
22,8,64,4158.59
23,8,64,4149.62
24,8,64,4149.24
0,8,128,2224.22
1,8,128,2223.46
2,8,128,2222.96
3,8,128,2222.95
4,8,128,2223.15
5,8,128,2223.66
6,8,128,2224.07
7,8,128,2223.24
8,8,128,2223.5
9,8,128,2223.29
10,8,128,2223.97
11,8,128,2223.89
12,8,128,2224.24
13,8,128,2223.36
14,8,128,2223.28
15,8,128,2223.15
16,8,128,2223.24
17,8,128,2223.49
18,8,128,2223.91
19,8,128,2223.03
20,8,128,2223.41
21,8,128,2223.02
22,8,128,2224.54
23,8,128,2223.09
24,8,128,2223.13
0,8,256,1534.41
1,8,256,1534.27
2,8,256,1537.14
3,8,256,1547.6
4,8,256,1547.29
5,8,256,1546.62
6,8,256,1547.78
7,8,256,1546.47
8,8,256,1547.75
9,8,256,1547.28
10,8,256,1549.41
11,8,256,1549.48
12,8,256,1547.17
13,8,256,1546.69
14,8,256,1547.62
15,8,256,1545.59
16,8,256,1547.92
17,8,256,1546.23
18,8,256,1546.96
19,8,256,1549.94
20,8,256,1548.21
21,8,256,1546.08
22,8,256,1547.49
23,8,256,1549.82
24,8,256,1549.5
0,8,512,1295.24
1,8,512,1296.19
2,8,512,1295.85
3,8,512,1295.86
4,8,512,1296.89
5,8,512,1295.16
6,8,512,1296.99
7,8,512,1296.63
8,8,512,1295.97
9,8,512,1296.51
10,8,512,1294.87
11,8,512,1298.81
12,8,512,1297.34
13,8,512,1294.77
14,8,512,1296.93
15,8,512,1295.53
16,8,512,1294.9
17,8,512,1297.37
18,8,512,1297.49
19,8,512,1298.21
20,8,512,1298.84
21,8,512,1298.81
22,8,512,1300.62
23,8,512,1298.05
24,8,512,1297.91
0,16,32,4147.6
1,16,32,4149.55
2,16,32,4146.88
3,16,32,4146.8
4,16,32,4146.41
5,16,32,4145.71
6,16,32,4146.57
7,16,32,4146.49
8,16,32,4145.97
9,16,32,4145.94
10,16,32,4146.48
11,16,32,4148.1
12,16,32,4147.21
13,16,32,4148.52
14,16,32,4148.58
15,16,32,4148.43
16,16,32,4149.75
17,16,32,4149.21
18,16,32,4149.04
19,16,32,4149.15
20,16,32,4150.71
21,16,32,4148.86
22,16,32,4149.29
23,16,32,4149.37
24,16,32,4149.33
0,16,64,2222.27
1,16,64,2221.42
2,16,64,2221.24
3,16,64,2239.81
4,16,64,2224.36
5,16,64,2224.14
6,16,64,2224.33
7,16,64,2223.49
8,16,64,2223.6
9,16,64,2225.45
10,16,64,2223.74
11,16,64,2223.62
12,16,64,2224.67
13,16,64,2223.81
14,16,64,2223.74
15,16,64,2224.63
16,16,64,2223.76
17,16,64,2223.46
18,16,64,2224.17
19,16,64,2224.55
20,16,64,2223.59
21,16,64,2223.61
22,16,64,2224.23
23,16,64,2223.53
24,16,64,2225.31
0,16,128,1538.53
1,16,128,1540.92
2,16,128,1542.23
3,16,128,1551.5
4,16,128,1551.73
5,16,128,1551.61
6,16,128,1555.56
7,16,128,1549.02
8,16,128,1550.27
9,16,128,1556.11
10,16,128,1553.73
11,16,128,1551.81
12,16,128,1553.85
13,16,128,1552.89
14,16,128,1553.33
15,16,128,1551.54
16,16,128,1550.08
17,16,128,1550.01
18,16,128,1551.13
19,16,128,1551.6
20,16,128,1551.82
21,16,128,1552.25
22,16,128,1552.6
23,16,128,1550.72
24,16,128,1550.86
0,16,256,1298.17
1,16,256,1283.8
2,16,256,1289.33
3,16,256,1280.04
4,16,256,1282.13
5,16,256,1283.28
6,16,256,1279.05
7,16,256,1290.9
8,16,256,1283.19
9,16,256,1285.56
10,16,256,1282.08
11,16,256,1289.33
12,16,256,1293.72
13,16,256,1280.97
14,16,256,1292.35
15,16,256,1289.92
16,16,256,1285.59
17,16,256,1294.71
18,16,256,1282.99
19,16,256,1285.64
20,16,256,1284.81
21,16,256,1290.57
22,16,256,1287.36
23,16,256,1290.85
24,16,256,1291.14
0,16,512,1566.9
1,16,512,1579.85
2,16,512,1565.04
3,16,512,1570.29
4,16,512,1575.22
5,16,512,1566.45
6,16,512,1583.49
7,16,512,1574.76
8,16,512,1565.25
9,16,512,1573
10,16,512,1571.21
11,16,512,1576.08
12,16,512,1582.69
13,16,512,1564.99
14,16,512,1579.72
15,16,512,1571.16
16,16,512,1582.97
17,16,512,1581.31
18,16,512,1578.37
19,16,512,1570.49
20,16,512,1572.87
21,16,512,1593.62
22,16,512,1591
23,16,512,1593.82
24,16,512,1582.26
0,32,32,2223.24
1,32,32,2223.05
2,32,32,2223.36
3,32,32,2224.09
4,32,32,2223.3
5,32,32,2241.3
6,32,32,2224.26
7,32,32,2223.23
8,32,32,2224.27
9,32,32,2223.92
10,32,32,2223.12
11,32,32,2224.42
12,32,32,2223.09
13,32,32,2223.92
14,32,32,2223.25
15,32,32,2223.13
16,32,32,2224
17,32,32,2229.68
18,32,32,2223.78
19,32,32,2223.13
20,32,32,2222.92
21,32,32,2223.82
22,32,32,2225.82
23,32,32,2225.39
24,32,32,2225.11
0,32,64,1539.27
1,32,64,1540.72
2,32,64,1540.64
3,32,64,1542.86
4,32,64,1546.99
5,32,64,1538.67
6,32,64,1538.1
7,32,64,1541.34
8,32,64,1540.15
9,32,64,1541.54
10,32,64,1539.94
11,32,64,1539.79
12,32,64,1541.73
13,32,64,1538.42
14,32,64,1540.83
15,32,64,1539.88
16,32,64,1544
17,32,64,1549.19
18,32,64,1551.25
19,32,64,1551.59
20,32,64,1549.55
21,32,64,1550.55
22,32,64,1551.48
23,32,64,1550.61
24,32,64,1550.66
