num_run,N,host_runtime [ms]
15.0,512.0,8.785
1.0,512.0,10.154
21.0,512.0,6.314
22.0,512.0,5.815
32.0,512.0,9.98
3.0,512.0,8.645
11.0,512.0,8.659
29.0,512.0,10.104000000000001
19.0,512.0,10.173
31.0,512.0,5.54
2.0,512.0,5.518
9.0,512.0,7.247
14.0,512.0,5.87
30.0,512.0,8.431000000000001
18.0,512.0,5.622
24.0,512.0,4.418
23.0,512.0,7.0760000000000005
10.0,512.0,9.309000000000001
28.0,512.0,4.476
8.0,512.0,8.392
25.0,512.0,6.5360000000000005
12.0,512.0,8.585
16.0,512.0,10.207
5.0,512.0,6.627
20.0,512.0,11.113
13.0,512.0,5.756
4.0,512.0,7.447
17.0,512.0,7.429
7.0,512.0,9.149000000000001
6.0,512.0,10.665000000000001
27.0,512.0,4.215
26.0,512.0,7.923
