num_run,N,host_runtime [ms]
1.0,4096.0,7003.139
16.0,4096.0,6144.765
30.0,4096.0,5549.5
22.0,4096.0,5918.408
7.0,4096.0,6716.369
28.0,4096.0,5818.973
15.0,4096.0,7098.394
2.0,4096.0,6085.876
23.0,4096.0,5904.162
14.0,4096.0,6879.058
13.0,4096.0,6311.483
18.0,4096.0,6062.946
27.0,4096.0,5789.982
12.0,4096.0,6388.985000000001
17.0,4096.0,6197.924
3.0,4096.0,6393.589
32.0,4096.0,5381.594
11.0,4096.0,5854.058
26.0,4096.0,6357.6720000000005
24.0,4096.0,5226.207
25.0,4096.0,6381.4580000000005
5.0,4096.0,6309.728
31.0,4096.0,5371.615
21.0,4096.0,6711.895
6.0,4096.0,6433.694
10.0,4096.0,6037.996
29.0,4096.0,5656.8240000000005
4.0,4096.0,6768.811
20.0,4096.0,6454.961
8.0,4096.0,6360.594
19.0,4096.0,6246.62
9.0,4096.0,6314.152
