nrun,num_blocks,num_threads_per_block,taukern
0,8,32,717.77
1,8,32,718.602
2,8,32,718.511
3,8,32,717.768
4,8,32,717.739
5,8,32,718.414
6,8,32,718.583
7,8,32,717.809
8,8,32,717.823
9,8,32,717.812
10,8,32,718.637
11,8,32,717.718
12,8,32,717.772
13,8,32,718.561
14,8,32,718.432
15,8,32,717.779
16,8,32,717.734
17,8,32,717.691
18,8,32,717.722
19,8,32,718.644
20,8,32,718.43
21,8,32,717.626
22,8,32,717.874
23,8,32,718.417
24,8,32,718.525
0,8,64,363.877
1,8,64,361.699
2,8,64,363.093
3,8,64,361.781
4,8,64,362.345
5,8,64,363.85
6,8,64,362.275
7,8,64,360.841
8,8,64,361.365
9,8,64,363.855
10,8,64,362.221
11,8,64,362.9
12,8,64,361.807
13,8,64,362.528
14,8,64,362.424
15,8,64,361.764
16,8,64,362.208
17,8,64,361.325
18,8,64,362.381
19,8,64,362.953
20,8,64,363.751
21,8,64,362.263
22,8,64,361.356
23,8,64,363.413
24,8,64,363.433
0,8,128,182.948
1,8,128,182.177
2,8,128,181.754
3,8,128,181.881
4,8,128,181.617
5,8,128,182.8
6,8,128,182.228
7,8,128,181.955
8,8,128,181.991
9,8,128,182.047
10,8,128,181.794
11,8,128,182.265
12,8,128,182.051
13,8,128,182.115
14,8,128,182.947
15,8,128,181.877
16,8,128,204.3
17,8,128,186.047
18,8,128,182.927
19,8,128,182.847
20,8,128,181.636
21,8,128,181.159
22,8,128,181.99
23,8,128,182.162
24,8,128,182.38
0,8,256,92.878
1,8,256,93.0659
2,8,256,92.8194
3,8,256,92.8528
4,8,256,93.2041
5,8,256,93.1098
6,8,256,93.5674
7,8,256,92.9312
8,8,256,92.7926
9,8,256,92.8042
10,8,256,93.1385
11,8,256,92.7944
12,8,256,93.569
13,8,256,92.8553
14,8,256,92.7785
15,8,256,92.8077
16,8,256,92.8816
17,8,256,92.9424
18,8,256,93.0958
19,8,256,92.8847
20,8,256,92.8752
21,8,256,97.4267
22,8,256,92.8083
23,8,256,92.8875
24,8,256,92.8146
0,8,512,50.6906
1,8,512,50.3342
2,8,512,49.9819
3,8,512,50.0703
4,8,512,50.0408
5,8,512,51.044
6,8,512,49.9067
7,8,512,49.8072
8,8,512,49.9432
9,8,512,50.172
10,8,512,50.1805
11,8,512,50.0784
12,8,512,50.7726
13,8,512,49.9018
14,8,512,49.9199
15,8,512,50.179
16,8,512,50.2569
17,8,512,50.2552
18,8,512,50.2073
19,8,512,50.1513
20,8,512,50.3621
21,8,512,50.7194
22,8,512,49.9435
23,8,512,49.9867
24,8,512,50.1563
0,16,32,362.888
1,16,32,362.796
2,16,32,362.656
3,16,32,361.798
4,16,32,363.858
5,16,32,361.979
6,16,32,363.25
7,16,32,362.545
8,16,32,363.079
9,16,32,361.935
10,16,32,362.366
11,16,32,363.128
12,16,32,362.458
13,16,32,362.998
14,16,32,363.195
15,16,32,361.791
16,16,32,361.7
17,16,32,363.535
18,16,32,362.831
19,16,32,362.604
20,16,32,362.783
21,16,32,361.713
22,16,32,361.529
23,16,32,363.046
24,16,32,362.374
0,16,64,182.89
1,16,64,182.781
2,16,64,182.08
3,16,64,182.209
4,16,64,181.732
5,16,64,181.339
6,16,64,182.439
7,16,64,182.173
8,16,64,182.181
9,16,64,181.645
10,16,64,182
11,16,64,182.344
12,16,64,181.787
13,16,64,182.555
14,16,64,182.172
15,16,64,182.118
16,16,64,181.844
17,16,64,181.659
18,16,64,182.186
19,16,64,181.807
20,16,64,182.387
21,16,64,182.948
22,16,64,181.368
23,16,64,181.882
24,16,64,181.908
0,16,128,93.6929
1,16,128,92.8936
2,16,128,92.9529
3,16,128,93.0165
4,16,128,93.5365
5,16,128,93.6089
6,16,128,92.8029
7,16,128,92.8143
8,16,128,92.6994
9,16,128,92.7638
10,16,128,93.5279
11,16,128,93.6716
12,16,128,92.8361
13,16,128,92.804
14,16,128,93.5367
15,16,128,93.6013
16,16,128,92.8283
17,16,128,92.7875
18,16,128,92.8268
19,16,128,92.9347
20,16,128,93.0024
21,16,128,93.546
22,16,128,92.8556
23,16,128,92.957
24,16,128,92.795
0,16,256,49.9951
1,16,256,49.7436
2,16,256,50.8133
3,16,256,50.6632
4,16,256,50.949
5,16,256,49.9595
6,16,256,49.9313
7,16,256,49.9888
8,16,256,50.6836
9,16,256,50.2898
10,16,256,50.0432
11,16,256,49.9759
12,16,256,50.1737
13,16,256,50.1538
14,16,256,50.1076
15,16,256,50.1107
16,16,256,50.2124
17,16,256,50.4192
18,16,256,49.9808
19,16,256,50.1413
20,16,256,49.7459
21,16,256,49.7424
22,16,256,49.9368
23,16,256,50.7322
24,16,256,50.7437
0,16,512,33.1444
1,16,512,32.3898
2,16,512,32.3244
3,16,512,32.3143
4,16,512,32.3268
5,16,512,33.0647
6,16,512,33.314
7,16,512,32.3323
8,16,512,32.3461
9,16,512,33.1093
10,16,512,33.0806
11,16,512,33.1093
12,16,512,32.3655
13,16,512,32.3308
14,16,512,33.0973
15,16,512,32.3732
16,16,512,32.3417
17,16,512,32.3342
18,16,512,32.3102
19,16,512,33.1105
20,16,512,33.1312
21,16,512,32.4268
22,16,512,32.3012
23,16,512,32.3713
24,16,512,32.3393
0,32,32,181.828
1,32,32,181.96
2,32,32,183.946
3,32,32,181.583
4,32,32,182.139
5,32,32,182.085
6,32,32,181.768
7,32,32,181.281
8,32,32,182.896
9,32,32,182.096
10,32,32,181.305
11,32,32,182.153
12,32,32,182.727
13,32,32,181.759
14,32,32,181.227
15,32,32,181.754
16,32,32,181.869
17,32,32,182.12
18,32,32,182.256
19,32,32,182.746
20,32,32,181.915
21,32,32,182.124
22,32,32,182.071
23,32,32,182.112
24,32,32,182.838
0,32,64,93.7776
1,32,64,93.6124
2,32,64,92.8438
3,32,64,92.7728
4,32,64,92.8055
5,32,64,92.806
6,32,64,93.309
