num_run,N,host_runtime [ms]
29.0,16384.0,387248.015
1.0,16384.0,425288.799
19.0,16384.0,399740.55700000003
4.0,16384.0,439446.80100000004
30.0,16384.0,382650.358
5.0,16384.0,430877.859
9.0,16384.0,422927.946
20.0,16384.0,401195.572
2.0,16384.0,444384.217
31.0,16384.0,383840.767
10.0,16384.0,421979.70300000004
8.0,16384.0,431570.35000000003
21.0,16384.0,405948.367
32.0,16384.0,378183.696
11.0,16384.0,429035.83400000003
22.0,16384.0,407881.911
12.0,16384.0,422047.587
23.0,16384.0,396285.46400000004
13.0,16384.0,425929.659
24.0,16384.0,398003.749
14.0,16384.0,425745.887
25.0,16384.0,399762.363
6.0,16384.0,425698.731
15.0,16384.0,430435.175
26.0,16384.0,396288.827
16.0,16384.0,418750.64900000003
27.0,16384.0,399282.468
3.0,16384.0,427168.371
17.0,16384.0,393492.97500000003
28.0,16384.0,390952.413
7.0,16384.0,423507.379
18.0,16384.0,395585.679
