nrun,num_blocks,num_threads_per_block,taukern
0,8,32,567.138
1,8,32,567.341
2,8,32,568.827
3,8,32,568.398
4,8,32,567.137
5,8,32,568.187
6,8,32,568.152
7,8,32,567.967
8,8,32,567.072
9,8,32,567.197
10,8,32,567.436
11,8,32,567.302
12,8,32,567.069
13,8,32,568.045
14,8,32,567.272
15,8,32,567.078
16,8,32,567.055
17,8,32,567.1
18,8,32,567.88
19,8,32,567.181
20,8,32,567.388
21,8,32,567.924
22,8,32,567.117
23,8,32,567.241
24,8,32,568.039
0,8,64,340.089
1,8,64,339.992
2,8,64,340.004
3,8,64,340.688
4,8,64,342.204
5,8,64,339.836
6,8,64,339.961
7,8,64,343.437
8,8,64,339.979
9,8,64,340.726
10,8,64,340.334
11,8,64,340.764
12,8,64,340.719
13,8,64,340.591
14,8,64,340.081
15,8,64,340.721
16,8,64,340.024
17,8,64,339.953
18,8,64,340.108
19,8,64,339.728
20,8,64,339.799
21,8,64,339.897
22,8,64,339.995
23,8,64,339.846
24,8,64,341.323
0,8,128,199.928
1,8,128,200.536
2,8,128,199.128
3,8,128,199.174
4,8,128,199.451
5,8,128,199.19
6,8,128,199.517
7,8,128,200.023
8,8,128,199.994
9,8,128,199.308
10,8,128,199.112
11,8,128,199.226
12,8,128,200.225
13,8,128,199.509
14,8,128,199.369
15,8,128,199.252
16,8,128,199.241
17,8,128,199.361
18,8,128,199.264
19,8,128,205.381
20,8,128,199.249
21,8,128,199.326
22,8,128,199.335
23,8,128,199.261
24,8,128,200.253
0,8,256,169.224
1,8,256,169.043
2,8,256,168.478
3,8,256,168.437
4,8,256,168.362
5,8,256,168.301
6,8,256,168.413
7,8,256,168.574
8,8,256,169.234
9,8,256,169.475
10,8,256,168.408
11,8,256,168.978
12,8,256,169.373
13,8,256,168.375
14,8,256,168.45
15,8,256,168.319
16,8,256,169.166
17,8,256,168.433
18,8,256,168.361
19,8,256,168.34
20,8,256,169.177
21,8,256,168.347
22,8,256,168.312
23,8,256,168.429
24,8,256,169.043
0,8,512,151.573
1,8,512,151.619
2,8,512,151.498
3,8,512,151.483
4,8,512,152.724
5,8,512,151.477
6,8,512,151.772
7,8,512,152.449
8,8,512,152.545
9,8,512,152.189
10,8,512,152.573
11,8,512,151.524
12,8,512,151.891
13,8,512,151.394
14,8,512,151.473
15,8,512,151.531
16,8,512,151.553
17,8,512,151.566
18,8,512,152.205
19,8,512,152.404
20,8,512,155.419
21,8,512,153.723
22,8,512,152.02
23,8,512,151.806
24,8,512,152.219
0,16,32,339.827
1,16,32,341.368
2,16,32,339.81
3,16,32,339.894
4,16,32,339.935
5,16,32,340.522
6,16,32,339.818
7,16,32,339.767
8,16,32,339.783
9,16,32,339.728
10,16,32,339.826
11,16,32,339.696
12,16,32,339.973
13,16,32,340.596
14,16,32,340.721
15,16,32,339.784
16,16,32,339.839
17,16,32,339.787
18,16,32,340.505
19,16,32,340.702
20,16,32,339.703
21,16,32,340.555
22,16,32,339.701
23,16,32,339.765
24,16,32,339.855
0,16,64,199.234
1,16,64,199.142
2,16,64,199.297
3,16,64,199.242
4,16,64,199.923
5,16,64,199.152
6,16,64,199.151
7,16,64,199.31
8,16,64,200.226
9,16,64,199.953
10,16,64,199.901
11,16,64,199.275
12,16,64,199.318
13,16,64,199.224
14,16,64,199.221
15,16,64,200.009
16,16,64,199.966
17,16,64,199.198
18,16,64,199.286
19,16,64,199.179
20,16,64,200.029
21,16,64,200.031
22,16,64,199.428
23,16,64,199.153
24,16,64,199.145
0,16,128,168.344
1,16,128,168.443
2,16,128,168.476
3,16,128,168.321
4,16,128,169.235
5,16,128,168.505
6,16,128,168.474
7,16,128,168.444
8,16,128,168.423
9,16,128,169.194
10,16,128,168.558
11,16,128,168.367
12,16,128,168.561
13,16,128,168.422
14,16,128,170.099
15,16,128,168.548
16,16,128,168.699
17,16,128,168.476
18,16,128,169.538
19,16,128,168.42
20,16,128,168.779
21,16,128,168.512
22,16,128,168.451
23,16,128,168.768
24,16,128,169.253
0,16,256,152.919
1,16,256,152.053
2,16,256,151.954
3,16,256,151.775
4,16,256,151.886
5,16,256,152.768
6,16,256,152.193
7,16,256,151.904
8,16,256,152.312
9,16,256,151.615
10,16,256,151.942
11,16,256,152.247
12,16,256,152.925
13,16,256,152.124
14,16,256,152.05
15,16,256,152.161
16,16,256,151.961
17,16,256,152.117
18,16,256,152.306
19,16,256,151.922
20,16,256,152.48
21,16,256,153.099
22,16,256,151.782
23,16,256,152.366
24,16,256,152.888
0,16,512,190.373
1,16,512,190.532
2,16,512,190.381
3,16,512,191.524
4,16,512,189.838
5,16,512,191.137
6,16,512,190.947
7,16,512,190.503
8,16,512,190.671
9,16,512,191.159
10,16,512,193.184
11,16,512,191.372
12,16,512,190.765
13,16,512,191.049
14,16,512,190.927
15,16,512,190.237
16,16,512,190.124
17,16,512,192.387
18,16,512,191.174
19,16,512,190.136
20,16,512,190.455
21,16,512,190.351
22,16,512,189.988
23,16,512,190.825
24,16,512,190.311
0,32,32,199.287
1,32,32,199.26
2,32,32,200.196
3,32,32,200.056
4,32,32,199.278
5,32,32,199.206
6,32,32,199.332
7,32,32,199.319
8,32,32,199.275
9,32,32,199.992
10,32,32,200.124
11,32,32,199.369
12,32,32,199.364
13,32,32,199.303
14,32,32,199.436
15,32,32,199.269
16,32,32,199.351
17,32,32,200.027
18,32,32,200.195
19,32,32,199.285
20,32,32,199.372
21,32,32,200.147
22,32,32,200.111
23,32,32,199.278
24,32,32,200.012
0,32,64,169.129
1,32,64,168.429
2,32,64,169.141
3,32,64,168.507
4,32,64,168.795
5,32,64,169.367
6,32,64,170.901
7,32,64,169.065
8,32,64,168.46
9,32,64,168.497
10,32,64,168.487
11,32,64,169.003
12,32,64,168.529
13,32,64,168.41
14,32,64,168.347
15,32,64,168.376
16,32,64,168.944
17,32,64,168.588
18,32,64,169.245
19,32,64,168.426
20,32,64,168.441
21,32,64,168.312
22,32,64,169.32
23,32,64,169.158
24,32,64,169.365
0,32,128,152.9
1,32,128,152.437
2,32,128,152.509
3,32,128,152.499
4,32,128,152.384
5,32,128,153.326
6,32,128,153.286
7,32,128,152.318
8,32,128,152.163
9,32,128,151.983
10,32,128,152.404
11,32,128,153.019
12,32,128,153.256
13,32,128,152.446
14,32,128,152.363
15,32,128,152.307
16,32,128,153.244
17,32,128,153.12
18,32,128,153.149
19,32,128,152.355
20,32,128,152.317
21,32,128,152.403
22,32,128,153.326
23,32,128,152.759
24,32,128,152.313
0,32,256,190.17
1,32,256,190.995
2,32,256,190.874
3,32,256,190.31
4,32,256,190.902
5,32,256,190.548
6,32,256,190.169
7,32,256,192.246
8,32,256,190.295
9,32,256,190.787
10,32,256,192.274
11,32,256,191.398
12,32,256,190.555
13,32,256,189.783
14,32,256,190.574
15,32,256,191.351
16,32,256,189.696
17,32,256,192.482
18,32,256,191.39
19,32,256,190.962
20,32,256,190.301
21,32,256,191.516
22,32,256,190.747
23,32,256,191.868
24,32,256,190.475
0,32,512,186.066
1,32,512,185.305
2,32,512,185.004
3,32,512,184.933
4,32,512,185.357
5,32,512,187.873
6,32,512,186.181
