N,Nx,runtime-avg,runtime-var
67108864,32768,16.42352064348,0.018582572719010936
67108864,65536,18.483505944199997,0.005929685887107236
67108864,131072,20.50094437056,0.05868005148698583
67108864,262144,22.282523204239997,0.061908774060209594
67108864,524288,24.059055092519998,0.11794877527888327
67108864,1048576,25.856147886199995,0.013131442414899462
67108864,2097152,32.997377722159996,0.01810039138249493
67108864,4194304,41.26238803244,0.07006631059948333
67108864,8388608,47.66196427564,0.20250213838713316
67108864,16777216,53.682883942400004,0.08513362674902054
67108864,33554432,59.46065870876,0.08554237608513875
134217728,1024,21.135513460080002,0.002551171345171692
134217728,2048,23.11026459284,0.012236514498582486
134217728,4096,25.344101358400003,0.0045926084246839215
134217728,8192,27.745761239960004,0.001462401408350547
134217728,16384,30.066660031679994,0.025357882104758683
134217728,32768,32.8419508712,0.03251788030046044
134217728,65536,37.20062391028,0.20743753185672334
134217728,131072,42.25448222912,0.2923149856771905
134217728,262144,46.38542561932001,0.17928818396210544
134217728,524288,49.7173272382,0.4045506460384021
134217728,1048576,54.94457408444,0.6636341692975015
134217728,2097152,67.01200857744,5.934499906844039
134217728,4194304,81.93641777728,0.14345921416276583
134217728,8388608,95.11813927355999,0.4156147099820287
134217728,16777216,107.82911749904001,0.612068876139778
134217728,33554432,119.199506608,1.5337650995743755
