nrun,num_blocks,num_threads_per_block,taukern
0,8,32,3948.56
1,8,32,3944
2,8,32,3944.15
3,8,32,3944.99
4,8,32,3945.1
5,8,32,3943.92
6,8,32,3944.17
7,8,32,3944.5
8,8,32,3944.24
9,8,32,3944.33
10,8,32,3944.03
11,8,32,3945.37
12,8,32,3944.29
13,8,32,3944.3
14,8,32,3944.03
15,8,32,3944.7
16,8,32,3944.49
17,8,32,3944.31
18,8,32,3944.63
19,8,32,3945.21
20,8,32,3944.56
21,8,32,3944.69
22,8,32,3945.69
23,8,32,3945.59
24,8,32,3944.79
0,8,64,2307.59
1,8,64,2310.92
2,8,64,2307.17
3,8,64,2307.3
4,8,64,2308.33
5,8,64,2306.85
6,8,64,2307.21
7,8,64,2307.21
8,8,64,2308.99
9,8,64,2308.21
10,8,64,2308.52
11,8,64,2308.25
12,8,64,2308.56
13,8,64,2308.96
14,8,64,2311.24
15,8,64,2309.41
16,8,64,2308.47
17,8,64,2309.14
18,8,64,2308.2
19,8,64,2308.36
20,8,64,2308.27
21,8,64,2308.25
22,8,64,2308.77
23,8,64,2308.35
24,8,64,2308.97
0,8,128,1280.63
1,8,128,1280.79
2,8,128,1281.53
3,8,128,1280.97
4,8,128,1280.71
5,8,128,1280.84
6,8,128,1282.16
7,8,128,1281.5
8,8,128,1280.96
9,8,128,1281.2
10,8,128,1281.54
11,8,128,1281.95
12,8,128,1282.25
13,8,128,1282.66
14,8,128,1282.27
15,8,128,1282.55
16,8,128,1282.44
17,8,128,1281.91
18,8,128,1281.73
19,8,128,1281.94
20,8,128,1282.62
21,8,128,1282.08
22,8,128,1281.79
23,8,128,1281.72
24,8,128,1284.59
0,8,256,986.202
1,8,256,986.425
2,8,256,986.418
3,8,256,985.766
4,8,256,987.151
5,8,256,987.215
6,8,256,986.09
7,8,256,986.096
8,8,256,986.037
9,8,256,987.422
10,8,256,986.724
11,8,256,986.603
12,8,256,987.068
13,8,256,986.117
14,8,256,986.12
15,8,256,986.068
16,8,256,986.8
17,8,256,986.557
18,8,256,986.182
19,8,256,985.351
20,8,256,987.904
21,8,256,986.231
22,8,256,987.034
23,8,256,986.563
24,8,256,986.255
0,8,512,858.527
1,8,512,857.632
2,8,512,858.254
3,8,512,856.992
4,8,512,856.896
5,8,512,856.889
6,8,512,857.598
7,8,512,856.965
8,8,512,856.957
9,8,512,859.761
10,8,512,857.576
11,8,512,856.87
12,8,512,856.926
13,8,512,856.967
14,8,512,858.086
15,8,512,858.935
16,8,512,857.921
17,8,512,858.273
18,8,512,857.884
19,8,512,858.815
20,8,512,857.463
21,8,512,857.96
22,8,512,857.877
23,8,512,858.169
24,8,512,858.119
0,16,32,2307.6
1,16,32,2306.55
2,16,32,2306.58
3,16,32,2306.53
4,16,32,2306.97
5,16,32,2307.08
6,16,32,2306.75
7,16,32,2306.68
8,16,32,2307.02
9,16,32,2306.5
10,16,32,2307.31
11,16,32,2306.73
12,16,32,2306.73
13,16,32,2306.33
14,16,32,2307.35
15,16,32,2328.15
16,16,32,2306.97
17,16,32,2306.24
18,16,32,2310.74
19,16,32,2308.38
20,16,32,2308.22
21,16,32,2307.52
22,16,32,2308.99
23,16,32,2307.48
24,16,32,2308.47
0,16,64,1281.19
1,16,64,1280.91
2,16,64,1280.79
3,16,64,1281.69
4,16,64,1281.08
5,16,64,1280.96
6,16,64,1280.93
7,16,64,1281.17
8,16,64,1281.5
9,16,64,1281.09
10,16,64,1281.06
11,16,64,1281.05
12,16,64,1281.07
13,16,64,1281.95
14,16,64,1280.84
15,16,64,1281.08
16,16,64,1281.31
17,16,64,1281.18
18,16,64,1281.05
19,16,64,1281.86
20,16,64,1282.12
21,16,64,1281.45
22,16,64,1281.08
23,16,64,1280.86
24,16,64,1281.26
0,16,128,987.704
1,16,128,987.633
2,16,128,987.25
3,16,128,987.306
4,16,128,987.325
5,16,128,992.807
6,16,128,989.191
7,16,128,989.363
8,16,128,988.686
9,16,128,989.009
10,16,128,990.453
11,16,128,990.115
12,16,128,989.282
13,16,128,989.281
14,16,128,990.037
15,16,128,990.036
16,16,128,990.081
17,16,128,990.327
18,16,128,990.062
19,16,128,989.909
20,16,128,988.906
21,16,128,989.318
22,16,128,989.344
23,16,128,989.368
24,16,128,990.211
0,16,256,853.85
1,16,256,854.861
2,16,256,854.879
3,16,256,854.202
4,16,256,871.572
5,16,256,854.453
6,16,256,854.252
7,16,256,856.09
8,16,256,854.315
9,16,256,854.418
10,16,256,854.11
11,16,256,853.884
12,16,256,854.178
13,16,256,855.22
14,16,256,854.415
15,16,256,854.024
16,16,256,854.138
17,16,256,854.229
18,16,256,854.058
19,16,256,854.714
20,16,256,854.154
21,16,256,854.207
22,16,256,853.881
23,16,256,854.871
24,16,256,854.819
0,16,512,1086.31
1,16,512,1083.73
2,16,512,1084.57
3,16,512,1085.92
4,16,512,1083.77
5,16,512,1087.6
6,16,512,1088.61
7,16,512,1085.99
8,16,512,1080.93
9,16,512,1082.12
10,16,512,1090.49
11,16,512,1091.74
12,16,512,1089.8
13,16,512,1087
14,16,512,1090.76
15,16,512,1084.89
16,16,512,1089.75
17,16,512,1086.47
18,16,512,1087.57
19,16,512,1091.6
20,16,512,1090.25
21,16,512,1085.71
22,16,512,1091.24
23,16,512,1084.51
24,16,512,1089.62
0,32,32,1280.83
1,32,32,1280.78
2,32,32,1281.23
3,32,32,1281.42
4,32,32,1280.8
5,32,32,1280.61
6,32,32,1280.84
7,32,32,1281.46
8,32,32,1281.16
9,32,32,1282.1
10,32,32,1280.52
11,32,32,1281.18
12,32,32,1280.9
13,32,32,1280.69
14,32,32,1281.6
15,32,32,1281.86
16,32,32,1281.87
17,32,32,1282.36
18,32,32,1281.79
19,32,32,1281.76
20,32,32,1281.41
21,32,32,1281.44
22,32,32,1282.67
23,32,32,1281.75
24,32,32,1281.73
0,32,64,987.395
1,32,64,987.834
2,32,64,987.499
3,32,64,986.642
4,32,64,987.244
5,32,64,987.173
6,32,64,987.969
7,32,64,987.603
8,32,64,987.241
9,32,64,986.878
10,32,64,986.351
11,32,64,987.108
12,32,64,989.601
13,32,64,986.276
14,32,64,986.746
15,32,64,987.497
16,32,64,987.421
17,32,64,987.262
18,32,64,987.109
19,32,64,986.902
20,32,64,987.309
21,32,64,988.429
22,32,64,986.601
23,32,64,986.261
24,32,64,987.049
0,32,128,852.582
1,32,128,865.841
2,32,128,852.344
3,32,128,852.373
4,32,128,856.919
5,32,128,881.323
6,32,128,861.81
7,32,128,852.308
8,32,128,852.044
9,32,128,860.365
10,32,128,856.274
11,32,128,852.336
12,32,128,852.864
13,32,128,856.418
14,32,128,851.95
15,32,128,852.832
16,32,128,856.51
17,32,128,861.742
18,32,128,863.716
19,32,128,852.862
20,32,128,868.825
21,32,128,861.129
22,32,128,857.524
23,32,128,899.933
24,32,128,856.031
0,32,256,1080.93
1,32,256,1081.46
2,32,256,1089.14
3,32,256,1078.65
4,32,256,1087.69
5,32,256,1076.49
6,32,256,1081.46
7,32,256,1087.21
8,32,256,1080.86
9,32,256,1079.31
10,32,256,1084.58
11,32,256,1084.06
12,32,256,1079.01
13,32,256,1085.37
14,32,256,1083.98
15,32,256,1086.04
16,32,256,1076.29
17,32,256,1084.81
18,32,256,1085.41
19,32,256,1084.43
20,32,256,1083.73
21,32,256,1083.55
22,32,256,1083.66
23,32,256,1079.36
24,32,256,1080.39
0,32,512,1070.71
1,32,512,1064.98
2,32,512,1074.76
3,32,512,1068.31
4,32,512,1071.05
5,32,512,1067.9
6,32,512,1067.38
7,32,512,1068.04
8,32,512,1067.51
9,32,512,1061.94
10,32,512,1066.9
11,32,512,1066.96
12,32,512,1067.48
13,32,512,1063.38
14,32,512,1065.29
15,32,512,1063.23
16,32,512,1069.87
17,32,512,1068.5
18,32,512,1065.41
19,32,512,1057.77
20,32,512,1061.99
21,32,512,1062.56
22,32,512,1066.84
23,32,512,1069.17
24,32,512,1062.55
0,64,32,987.485
1,64,32,989.032
2,64,32,986.303
3,64,32,987.902
4,64,32,990.718
5,64,32,990.026
6,64,32,989.369
7,64,32,990.758
8,64,32,989.89
9,64,32,989.504
10,64,32,991.538
11,64,32,990.199
12,64,32,989.405
13,64,32,989.313
14,64,32,990.549
15,64,32,989.892
16,64,32,991.983
17,64,32,989.59
18,64,32,989.422
19,64,32,989.89
20,64,32,990.169
21,64,32,989.959
22,64,32,988.988
23,64,32,989.491
24,64,32,989.736
0,64,64,858.338
1,64,64,865.158
2,64,64,876.872
3,64,64,852.225
4,64,64,869.102
5,64,64,852.846
6,64,64,851.937
7,64,64,854.641
8,64,64,851.97
9,64,64,855.436
10,64,64,853.635
11,64,64,853.695
12,64,64,851.983
13,64,64,852.387
14,64,64,852.396
15,64,64,866.392
16,64,64,852.132
17,64,64,856.623
18,64,64,852.569
19,64,64,859.132
20,64,64,853.292
21,64,64,852.14
22,64,64,852.786
23,64,64,851.767
24,64,64,858.581
0,64,128,1071.22
1,64,128,1067.51
2,64,128,1066.75
3,64,128,1063.87
4,64,128,1068.98
5,64,128,1072.04
6,64,128,1066.57
7,64,128,1069.28
8,64,128,1067.67
9,64,128,1070.63
10,64,128,1065.7
11,64,128,1069.43
12,64,128,1069.98
13,64,128,1076.27
14,64,128,1072.94
15,64,128,1076.49
16,64,128,1078.39
17,64,128,1073.45
18,64,128,1074.42
19,64,128,1070.08
20,64,128,1074.28
21,64,128,1072.65
22,64,128,1071.31
23,64,128,1074.24
24,64,128,1069.34
0,64,256,1072.17
1,64,256,1071.93
2,64,256,1074.02
3,64,256,1073.86
4,64,256,1071.87
5,64,256,1073.12
6,64,256,1070.8
7,64,256,1075.28
8,64,256,1072.08
9,64,256,1071.83
10,64,256,1076.16
11,64,256,1074.65
12,64,256,1072.46
13,64,256,1067.04
14,64,256,1075.17
15,64,256,1066.89
16,64,256,1071.37
17,64,256,1072.3
18,64,256,1073.31
19,64,256,1070.72
20,64,256,1072.95
21,64,256,1070.21
22,64,256,1071.53
23,64,256,1068.62
24,64,256,1067.5
0,64,512,1057.12
1,64,512,1057.37
2,64,512,1057.82
3,64,512,1052.29
4,64,512,1058.84
5,64,512,1056.56
6,64,512,1058.94
7,64,512,1051.75
8,64,512,1054.66
9,64,512,1052.12
10,64,512,1061.24
11,64,512,1057.29
12,64,512,1060.51
13,64,512,1061.52
14,64,512,1056.49
15,64,512,1058.81
16,64,512,1059.45
17,64,512,1055.08
18,64,512,1058.78
19,64,512,1058.2
20,64,512,1061.25
21,64,512,1061.99
22,64,512,1057.94
23,64,512,1062.1
24,64,512,1057.63
0,128,32,869.999
1,128,32,852.103
2,128,32,859.808
3,128,32,867.441
4,128,32,879.379
5,128,32,852.132
6,128,32,901.569
7,128,32,878.378
8,128,32,890.76
9,128,32,903.856
10,128,32,853.101
11,128,32,866.981
12,128,32,866.56
13,128,32,888.003
14,128,32,869.386
15,128,32,869.769
16,128,32,867.842
17,128,32,867.271
18,128,32,851.615
19,128,32,881.892
20,128,32,870.538
21,128,32,930.49
22,128,32,874.906
23,128,32,866.71
24,128,32,877.977
0,128,64,1067.17
1,128,64,1071.11
2,128,64,1072.25
3,128,64,1071.76
4,128,64,1073.28
5,128,64,1073.2
6,128,64,1071.21
7,128,64,1075.14
8,128,64,1073.31
9,128,64,1075.5
10,128,64,1070.11
11,128,64,1073.22
12,128,64,1074.71
13,128,64,1070.47
14,128,64,1074.94
15,128,64,1071.91
16,128,64,1073.36
17,128,64,1073.21
18,128,64,1072.62
19,128,64,1072.79
20,128,64,1072.16
21,128,64,1079.71
22,128,64,1080.83
23,128,64,1078.1
24,128,64,1078.06
0,128,128,1054.94
1,128,128,1059.95
2,128,128,1054.13
3,128,128,1069.58
4,128,128,1063.14
5,128,128,1052.16
6,128,128,1052.44
7,128,128,1057.6
8,128,128,1059.41
9,128,128,1054.61
10,128,128,1054.84
11,128,128,1055.95
12,128,128,1061.7
13,128,128,1059.07
14,128,128,1059.25
15,128,128,1053.16
16,128,128,1065.43
17,128,128,1051.02
18,128,128,1051.37
19,128,128,1054.7
20,128,128,1050.71
21,128,128,1059.48
22,128,128,1055.88
23,128,128,1056.14
24,128,128,1054.89
0,128,256,1058.07
1,128,256,1062.36
2,128,256,1060.01
3,128,256,1060.38
4,128,256,1057.18
5,128,256,1059.48
6,128,256,1060.06
7,128,256,1060.02
8,128,256,1056.81
9,128,256,1060.69
10,128,256,1055.6
11,128,256,1059.49
12,128,256,1055.49
13,128,256,1060.51
14,128,256,1056.61
15,128,256,1062.08
16,128,256,1059.69
17,128,256,1062.81
18,128,256,1061.25
19,128,256,1057.82
20,128,256,1062.64
21,128,256,1059.99
22,128,256,1060.96
23,128,256,1066.9
24,128,256,1057.68
0,128,512,1064.47
1,128,512,1066.29
2,128,512,1068.02
3,128,512,1067.41
4,128,512,1063.65
5,128,512,1068.5
6,128,512,1067.72
7,128,512,1068.43
8,128,512,1070.84
9,128,512,1069.68
10,128,512,1067.5
11,128,512,1069.77
12,128,512,1070.28
13,128,512,1070.08
14,128,512,1068.16
15,128,512,1066.75
16,128,512,1067.51
17,128,512,1066.73
18,128,512,1064.39
19,128,512,1069.04
20,128,512,1069.91
21,128,512,1063.24
22,128,512,1064.38
23,128,512,1071.51
24,128,512,1066.62
0,256,32,1068.95
1,256,32,1076.61
2,256,32,1067.61
3,256,32,1069.23
4,256,32,1070.13
5,256,32,1068.46
6,256,32,1068.24
7,256,32,1070.44
8,256,32,1071.52
9,256,32,1067.14
10,256,32,1067.78
11,256,32,1067.77
12,256,32,1070.64
13,256,32,1069.46
14,256,32,1069.45
15,256,32,1072.98
16,256,32,1069.52
17,256,32,1066.53
18,256,32,1066.18
19,256,32,1067.74
20,256,32,1070.28
21,256,32,1065.15
22,256,32,1068.85
23,256,32,1065.36
24,256,32,1067.83
0,256,64,1062.02
1,256,64,1057.92
2,256,64,1060.9
3,256,64,1056.84
4,256,64,1061.05
5,256,64,1066.94
6,256,64,1065.09
7,256,64,1062.78
8,256,64,1067.3
9,256,64,1071.26
10,256,64,1068.64
11,256,64,1062.76
12,256,64,1058.67
13,256,64,1060.6
14,256,64,1065.1
15,256,64,1060.46
16,256,64,1061.58
17,256,64,1062.6
18,256,64,1063.66
19,256,64,1066.39
20,256,64,1063.45
21,256,64,1062.28
22,256,64,1058.84
23,256,64,1063.62
24,256,64,1067.32
0,256,128,1051.05
1,256,128,1041.83
2,256,128,1050.29
3,256,128,1050.08
4,256,128,1043.45
5,256,128,1052.4
6,256,128,1049.96
7,256,128,1050.56
8,256,128,1051.46
9,256,128,1046.53
10,256,128,1046.91
11,256,128,1049.31
12,256,128,1049.52
13,256,128,1053.64
14,256,128,1051.21
15,256,128,1052.07
16,256,128,1052.41
17,256,128,1049.32
18,256,128,1049.72
19,256,128,1048.48
20,256,128,1053.44
21,256,128,1051.04
22,256,128,1047.89
23,256,128,1050.78
24,256,128,1051.18
0,256,256,1073.25
1,256,256,1072.2
2,256,256,1065.17
3,256,256,1067.89
4,256,256,1066.08
5,256,256,1068.94
6,256,256,1072.52
7,256,256,1074.72
8,256,256,1072.75
9,256,256,1070.14
10,256,256,1074.35
11,256,256,1070.12
12,256,256,1074.2
13,256,256,1076.08
14,256,256,1077.92
15,256,256,1069.8
16,256,256,1072.31
17,256,256,1070.98
18,256,256,1071.91
19,256,256,1068.88
20,256,256,1069.9
21,256,256,1077.55
22,256,256,1073.04
23,256,256,1068.35
24,256,256,1068.88
0,256,512,1066.34
1,256,512,1071.28
2,256,512,1067.27
3,256,512,1066.05
4,256,512,1065.83
5,256,512,1060.62
6,256,512,1067.04
7,256,512,1068.26
8,256,512,1065.74
9,256,512,1067.29
10,256,512,1063.08
11,256,512,1060.73
12,256,512,1066.97
13,256,512,1067.16
14,256,512,1065.2
15,256,512,1067.25
16,256,512,1065.19
17,256,512,1060.96
18,256,512,1063.68
19,256,512,1061.61
20,256,512,1065.92
21,256,512,1065.58
22,256,512,1063.93
23,256,512,1068.3
24,256,512,1066.93
