nrun,num_blocks,num_threads_per_block,taukern
0,8,32,0.174272
1,8,32,0.190272
2,8,32,0.201856
3,8,32,0.186976
4,8,32,0.20816
5,8,32,0.219072
6,8,32,0.189184
7,8,32,0.20064
8,8,32,0.195424
9,8,32,0.169824
10,8,32,0.166432
11,8,32,0.167456
12,8,32,0.167072
13,8,32,0.166848
14,8,32,0.18
15,8,32,0.171584
16,8,32,0.167232
17,8,32,0.18464
18,8,32,0.166784
19,8,32,0.166784
20,8,32,0.170656
21,8,32,0.16688
22,8,32,0.166848
23,8,32,0.166464
24,8,32,0.180384
0,8,64,0.209408
1,8,64,0.097984
2,8,64,0.094848
3,8,64,0.094144
4,8,64,0.093696
5,8,64,0.093536
6,8,64,0.09328
7,8,64,0.09456
8,8,64,0.094144
9,8,64,0.110752
10,8,64,0.093568
11,8,64,0.094112
12,8,64,0.094112
13,8,64,0.099168
14,8,64,0.094048
15,8,64,0.100928
16,8,64,0.093696
17,8,64,0.093824
18,8,64,0.093504
19,8,64,0.093408
20,8,64,0.093664
21,8,64,0.094848
22,8,64,0.094368
23,8,64,0.093536
24,8,64,0.093664
0,8,128,0.077088
1,8,128,0.0944
2,8,128,0.100384
3,8,128,0.108352
4,8,128,0.099104
5,8,128,0.096288
6,8,128,0.074208
7,8,128,0.069408
8,8,128,0.14416
9,8,128,0.064576
10,8,128,0.063744
11,8,128,0.407008
12,8,128,0.065536
13,8,128,0.06656
14,8,128,0.112608
15,8,128,0.095616
16,8,128,0.086464
17,8,128,0.097952
18,8,128,0.149632
19,8,128,0.064576
20,8,128,0.06432
21,8,128,0.15952
22,8,128,0.064576
23,8,128,0.0648
24,8,128,0.072256
0,8,256,0.039552
1,8,256,0.055552
2,8,256,0.040032
3,8,256,0.038976
4,8,256,0.039296
5,8,256,0.039424
6,8,256,0.038592
7,8,256,0.038688
8,8,256,0.03968
9,8,256,0.038784
10,8,256,0.046432
11,8,256,0.038976
12,8,256,0.039232
13,8,256,0.039072
14,8,256,0.038848
15,8,256,0.039232
16,8,256,0.0392
17,8,256,0.039008
18,8,256,0.048448
19,8,256,0.038784
20,8,256,0.039008
21,8,256,0.038208
22,8,256,0.039232
23,8,256,0.03952
24,8,256,0.03888
0,8,512,0.048928
1,8,512,0.035936
2,8,512,0.032768
3,8,512,0.042528
4,8,512,0.032352
5,8,512,0.031872
6,8,512,0.032384
7,8,512,0.015488
8,8,512,0.03376
9,8,512,0.03248
10,8,512,0.029024
11,8,512,0.032608
12,8,512,0.029632
13,8,512,0.032096
14,8,512,0.030208
15,8,512,0.030208
16,8,512,0.030336
17,8,512,0.03024
18,8,512,0.03152
19,8,512,0.015584
20,8,512,0.019424
21,8,512,0.033056
22,8,512,0.01904
23,8,512,0.033152
24,8,512,0.032096
0,16,32,0.095392
1,16,32,0.097344
2,16,32,0.100032
3,16,32,0.095264
4,16,32,0.094944
5,16,32,0.094336
6,16,32,0.094336
7,16,32,0.077696
8,16,32,0.095744
9,16,32,0.094848
10,16,32,0.08752
11,16,32,0.094944
12,16,32,0.093952
13,16,32,0.094432
14,16,32,0.094528
15,16,32,0.077952
16,16,32,0.0944
17,16,32,0.094176
18,16,32,0.094144
19,16,32,0.094048
20,16,32,0.094624
21,16,32,0.093568
22,16,32,0.093856
23,16,32,0.093728
24,16,32,0.093472
0,16,64,0.089632
1,16,64,0.07504
2,16,64,0.07488
3,16,64,0.067744
4,16,64,0.066592
5,16,64,0.065856
6,16,64,0.066048
7,16,64,0.066272
8,16,64,0.066784
9,16,64,0.065792
10,16,64,0.065344
11,16,64,0.069824
12,16,64,0.041376
13,16,64,0.041216
14,16,64,0.066784
15,16,64,0.066912
16,16,64,0.065728
17,16,64,0.066112
18,16,64,0.0656
19,16,64,0.068608
20,16,64,0.06672
21,16,64,0.066304
22,16,64,0.066496
23,16,64,0.066144
24,16,64,0.066304
0,16,128,0.079232
1,16,128,0.065152
2,16,128,0.040192
3,16,128,0.039808
4,16,128,0.052768
5,16,128,0.039584
6,16,128,0.03904
7,16,128,0.038656
8,16,128,0.039552
9,16,128,0.03872
