nrun,num_blocks,num_threads_per_block,taukern
0,8,32,174.084
1,8,32,174.467
2,8,32,174.068
3,8,32,174.491
4,8,32,174.044
5,8,32,174.443
6,8,32,174.487
7,8,32,174.479
8,8,32,174.011
9,8,32,174.445
10,8,32,174.009
11,8,32,174.484
12,8,32,174.454
13,8,32,174.448
14,8,32,174.47
15,8,32,174.542
16,8,32,174.459
17,8,32,174.48
18,8,32,174.024
19,8,32,174.44
20,8,32,174.44
21,8,32,174.464
22,8,32,174.447
23,8,32,174.457
24,8,32,174.432
0,8,64,91.0774
1,8,64,91.4484
2,8,64,91.5369
3,8,64,91.4746
4,8,64,91.4763
5,8,64,91.454
6,8,64,91.496
7,8,64,91.5069
8,8,64,91.4516
9,8,64,91.441
10,8,64,91.5328
11,8,64,91.0735
12,8,64,91.5252
13,8,64,91.4938
14,8,64,91.4882
15,8,64,91.4606
16,8,64,91.5107
17,8,64,91.4497
18,8,64,91.5029
19,8,64,91.412
20,8,64,91.4818
21,8,64,91.4751
22,8,64,91.4895
23,8,64,91.4009
24,8,64,91.466
0,8,128,45.8961
1,8,128,46.3225
2,8,128,45.9049
3,8,128,46.3196
4,8,128,45.879
5,8,128,46.3393
6,8,128,45.9202
7,8,128,46.3104
8,8,128,45.9054
9,8,128,45.9097
10,8,128,46.366
11,8,128,45.8996
12,8,128,46.3582
13,8,128,46.3838
14,8,128,46.3511
15,8,128,45.8791
16,8,128,45.9078
17,8,128,46.3471
18,8,128,45.8771
19,8,128,46.3228
20,8,128,45.9052
21,8,128,46.3526
22,8,128,45.9068
23,8,128,46.3541
24,8,128,46.3785
0,8,256,24.4288
1,8,256,24.4235
2,8,256,24.3085
3,8,256,24.4774
4,8,256,24.466
5,8,256,24.5111
6,8,256,24.3418
7,8,256,24.555
8,8,256,24.4294
9,8,256,24.4683
10,8,256,24.3189
11,8,256,24.5173
12,8,256,24.4383
13,8,256,24.4196
14,8,256,24.4664
15,8,256,24.3732
16,8,256,24.4964
17,8,256,24.9149
18,8,256,24.3866
19,8,256,24.8242
20,8,256,24.4598
21,8,256,24.4844
22,8,256,24.4558
23,8,256,24.3157
24,8,256,24.4822
0,8,512,14.3235
1,8,512,14.0094
2,8,512,14.1025
3,8,512,14.1401
4,8,512,13.9865
5,8,512,14.2326
6,8,512,13.9911
7,8,512,14.1946
8,8,512,13.9881
