num_run,N,num_blocks_x,num_blocks_y,num_threads_per_x,num_threads_per_y,device_runtime [ms],host_runtime [ms]
1.0,32.0,30.0,30.0,64.0,64.0,0.997184,0.304
2.0,32.0,30.0,30.0,64.0,64.0,0.169536,0.417
3.0,32.0,30.0,30.0,64.0,64.0,0.015104,0.251
4.0,32.0,30.0,30.0,64.0,64.0,0.016544,0.264
5.0,32.0,30.0,30.0,64.0,64.0,0.215776,0.365
6.0,32.0,30.0,30.0,64.0,64.0,0.089632,0.29
7.0,32.0,30.0,30.0,64.0,64.0,0.016992,0.261
8.0,32.0,30.0,30.0,64.0,64.0,0.13968,0.34600000000000003
9.0,32.0,30.0,30.0,64.0,64.0,0.014336,0.268
10.0,32.0,30.0,30.0,64.0,64.0,0.191008,0.259
11.0,32.0,30.0,30.0,64.0,64.0,0.238432,0.319
12.0,32.0,30.0,30.0,64.0,64.0,0.018624,0.267
13.0,32.0,30.0,30.0,64.0,64.0,0.014688,0.253
14.0,32.0,30.0,30.0,64.0,64.0,0.030368,0.41500000000000004
15.0,32.0,30.0,30.0,64.0,64.0,0.014784,0.278
16.0,32.0,30.0,30.0,64.0,64.0,0.016736,0.278
17.0,32.0,30.0,30.0,64.0,64.0,0.015136,0.26
18.0,32.0,30.0,30.0,64.0,64.0,0.015872,0.266
19.0,32.0,30.0,30.0,64.0,64.0,0.013664,0.265
20.0,32.0,30.0,30.0,64.0,64.0,0.015584,0.376
21.0,32.0,30.0,30.0,64.0,64.0,0.013664,0.243
22.0,32.0,30.0,30.0,64.0,64.0,0.017184,0.272
23.0,32.0,30.0,30.0,64.0,64.0,0.015584,0.224
24.0,32.0,30.0,30.0,64.0,64.0,0.01472,0.225
25.0,32.0,30.0,30.0,64.0,64.0,0.0128,0.251
26.0,32.0,30.0,30.0,64.0,64.0,0.01616,0.258
27.0,32.0,30.0,30.0,64.0,64.0,0.013792,0.242
28.0,32.0,30.0,30.0,64.0,64.0,0.023616,0.313
29.0,32.0,30.0,30.0,64.0,64.0,0.015584,0.33
30.0,32.0,30.0,30.0,64.0,64.0,0.101504,0.274
31.0,32.0,30.0,30.0,64.0,64.0,0.017984,0.247
32.0,32.0,30.0,30.0,64.0,64.0,0.021088,0.35100000000000003
1.0,32.0,30.0,30.0,32.0,1024.0,1.75523,0.263
2.0,32.0,30.0,30.0,32.0,1024.0,0.488064,0.312
3.0,32.0,30.0,30.0,32.0,1024.0,0.094368,0.32
4.0,32.0,30.0,30.0,32.0,1024.0,0.025184,0.251
5.0,32.0,30.0,30.0,32.0,1024.0,0.026848,0.397
