num_run,N,host_runtime [ms]
28.0,32.0,0.148
10.0,32.0,0.203
1.0,32.0,0.227
23.0,32.0,0.156
11.0,32.0,0.185
31.0,32.0,0.124
22.0,32.0,0.122
5.0,32.0,0.138
21.0,32.0,0.127
20.0,32.0,0.162
19.0,32.0,0.15
6.0,32.0,0.11800000000000001
30.0,32.0,0.114
18.0,32.0,0.16
17.0,32.0,0.11900000000000001
8.0,32.0,0.14300000000000002
29.0,32.0,0.167
16.0,32.0,0.163
26.0,32.0,0.147
15.0,32.0,0.154
2.0,32.0,0.178
25.0,32.0,0.14100000000000001
14.0,32.0,0.148
32.0,32.0,0.11800000000000001
13.0,32.0,0.177
4.0,32.0,0.176
9.0,32.0,0.253
3.0,32.0,0.171
12.0,32.0,0.145
27.0,32.0,0.151
24.0,32.0,0.153
7.0,32.0,0.13
