N,Nx,num_blocks,num_threads_per_block,avg_runtime,runtime_variance,effective_bandwidth,effective_bandwidth_variance
32768,524288,256,512,0.24695808,0.0006464366148266667,28.666452643363606,9.433590811687985
32768,524288,256,256,0.229216,0.0005368698879999999,30.885331325980736,9.433590811687985
32768,524288,256,128,0.21052671999999997,0.0002256111342933333,33.627142935661574,9.433590811687985
32768,524288,256,64,0.20741632,0.00019027705856,34.1314131174249,9.433590811687985
32768,524288,256,32,0.20345855999999998,0.0008029311078400001,34.79535147214254,9.433590811687985
32768,524288,128,512,0.21043200000000004,0.00019209523199999992,33.64227924087591,9.433590811687985
32768,524288,128,256,0.20534912,0.00010728266069333337,34.47500581067014,9.433590811687985
32768,524288,128,128,0.20538368,0.00011479929856000003,34.46920468664307,9.433590811687985
32768,524288,128,64,0.22220416000000004,0.004096134000639999,31.859944049724355,9.433590811687985
32768,524288,128,32,0.25673344,0.007183104078506668,27.574951300524006,9.433590811687985
32768,524288,64,512,0.21151872000000002,0.00015599236096000004,33.469435259517454,9.433590811687985
32768,524288,64,256,0.22272895999999995,0.0004559747003733333,31.7848747877959,9.433590811687985
32768,524288,64,128,0.1907712,4.412603733333333e-05,37.10943845410628,9.433590811687985
32768,524288,64,64,0.24938752000000006,0.0004672295150933334,28.38719477709229,9.433590811687985
32768,524288,64,32,0.35395072,0.00013095009962666652,20.00112361747986,9.433590811687985
32768,524288,32,512,0.2019136,4.553762133333337e-05,35.06159122127484,9.433590811687985
32768,524288,32,256,0.19735552,0.00025856169642666675,35.87136607689514,9.433590811687985
32768,524288,32,128,0.24330496000000001,7.942600704000006e-05,29.09686717942782,9.433590811687985
32768,524288,32,64,0.33872512,2.2090042026666693e-05,20.900168565047668,9.433590811687985
32768,524288,32,32,0.51998592,0.0001510895854933336,13.61462269058362,9.433590811687985
32768,524288,16,512,0.20400511999999998,0.0005901955140266665,34.70212956035614,9.433590811687985
32768,524288,16,256,0.25775616,0.004965670853973334,27.46553993206603,9.433590811687985
32768,524288,16,128,0.3482432,0.0001194699946666667,20.328931348023453,9.433590811687985
32768,524288,16,64,0.5201062399999999,0.0015558608827733334,13.61147311983029,9.433590811687985
32768,524288,16,32,0.95102208,0.0004685833454933334,7.444003934394457,9.433590811687985
32768,524288,8,512,0.24785152,4.104609109333327e-05,28.563117568195672,9.433590811687985
32768,524288,8,256,0.34835840000000007,0.0008081862826666665,20.322208694310223,9.433590811687985
32768,524288,8,128,0.50608896,0.0001701371323733331,13.9884736968299,9.433590811687985
32768,524288,8,64,0.9295745599999999,0.0011228022598399996,7.6157550021764795,9.433590811687985
32768,524288,8,32,1.7403956,0.01175089226733334,4.067702828722389,9.433590811687985
32768,4194304,256,512,0.62293632,0.0022222884932266668,13.26118220967434,0.7890171604550543
32768,4194304,256,256,0.60972032,0.00014127370922666638,13.54862512134088,0.7890171604550543
32768,4194304,256,128,0.62482048,0.0005298570990933334,13.22119282092674,0.7890171604550543
32768,4194304,256,64,0.6075839999999999,0.0002500290560000001,13.596263306051512,0.7890171604550543
32768,4194304,256,32,0.55260672,0.0014965813316266676,14.948917097034215,0.7890171604550543
32768,4194304,128,512,0.5969408,9.153911466666653e-05,13.838678884981558,0.7890171604550543
32768,4194304,128,256,0.6118182400000001,0.0002596758801066665,13.502166990876242,0.7890171604550543
32768,4194304,128,128,0.6232128,0.00028574438400000003,13.255299064050034,0.7890171604550543
32768,4194304,128,64,0.5374489600000001,0.00019941303637333315,15.37052382526519,0.7890171604550543
32768,4194304,128,32,0.5441804800000001,7.951418709333317e-05,15.180390234769169,0.7890171604550543
32768,4194304,64,512,0.6020992,0.00010053307733333336,13.720117954888497,0.7890171604550543
32768,4194304,64,256,0.61429248,0.0005922322670933332,13.447783122046358,0.7890171604550543
32768,4194304,64,128,0.54150912,0.00024869151402666666,15.255277777305025,0.7890171604550543
32768,4194304,64,64,0.5597388799999999,0.0002538308846933331,14.758438871610995,0.7890171604550543
32768,4194304,64,32,0.65107456,8.332876117333321e-05,12.688058406926544,0.7890171604550543
32768,4194304,32,512,0.60889984,6.793013930666678e-05,13.566881614789061,0.7890171604550543
32768,4194304,32,256,0.54337408,0.0003521095748266671,15.202918852043881,0.7890171604550543
32768,4194304,32,128,0.5743744,0.0004745060693333339,14.382382022151408,0.7890171604550543
32768,4194304,32,64,0.63917952,0.00026118219775999994,12.92418137011649,0.7890171604550543
32768,4194304,32,32,0.8184102400000001,0.003518008978773333,10.093803377318444,0.7890171604550543
32768,4194304,16,512,0.5344627200000001,0.00016321830229333316,15.456404601136633,0.7890171604550543
32768,4194304,16,256,0.56315136,0.0002868364049066667,14.669008425273093,0.7890171604550543
32768,4194304,16,128,0.66078592,0.0011854527214933332,12.501586057620598,0.7890171604550543
32768,4194304,16,64,0.8063283200000001,0.00018569133056000012,10.245047630900523,0.7890171604550543
32768,4194304,16,32,1.2677791999999999,0.0011949191826666665,6.51601796633357,0.7890171604550543
32768,4194304,8,512,0.55589888,0.0003719535513600001,14.860386199274227,0.7890171604550543
32768,4194304,8,256,0.6579264,0.0010518597973333333,12.55592121633058,0.7890171604550543
32768,4194304,8,128,0.78259584,0.00020795411797333338,10.555732119076943,0.7890171604550543
32768,4194304,8,64,1.4532204,0.04120119256233334,5.684527993512891,0.7890171604550543
32768,4194304,8,32,2.1571072,0.006789423079333327,3.8296066345446342,0.7890171604550543
32768,16777216,256,512,0.78662272,0.0019217974169599998,11.50128478868243,0.34738001728343665
32768,16777216,256,256,0.7745305600000001,9.397520383999994e-05,11.680845651807461,0.34738001728343665
32768,16777216,256,128,0.7621286400000001,6.254985557333316e-05,11.870924997606698,0.34738001728343665
32768,16777216,256,64,0.7639744,0.00013950267733333323,11.842244876226216,0.34738001728343665
32768,16777216,256,32,0.6967718399999999,0.0002678259473066665,12.984410971557057,0.34738001728343665
32768,16777216,128,512,0.75658368,0.00014221510656000014,11.957926351210745,0.34738001728343665
32768,16777216,128,256,0.77484032,0.00028951451989333324,11.676175968705394,0.34738001728343665
32768,16777216,128,128,0.7702732800000001,0.00011428484096000003,11.74540537608678,0.34738001728343665
32768,16777216,128,64,0.7016972800000001,0.0013960771822933338,12.893269194328354,0.34738001728343665
32768,16777216,128,32,0.71860736,0.00037696461824,12.589868163844018,0.34738001728343665
32768,16777216,64,512,0.7660928,0.00024215099733333333,11.809498697766116,0.34738001728343665
32768,16777216,64,256,0.7689023999999999,0.0005185194666666666,11.766346319075087,0.34738001728343665
32768,16777216,64,128,0.6923187199999999,0.00014971873962666684,13.067929065919234,0.34738001728343665
32768,16777216,64,64,0.6896230400000001,0.00019199876437333324,13.119010530692243,0.34738001728343665
32768,16777216,64,32,0.81556864,0.0005961534395733332,11.093084604096596,0.34738001728343665
32768,16777216,32,512,0.7832433599999998,0.007517853700906665,11.5509079119011,0.34738001728343665
32768,16777216,32,256,0.7327385599999999,0.009224833017173336,12.34706676821812,0.34738001728343665
32768,16777216,32,128,0.74030464,0.00048616926890666636,12.220876967579184,0.34738001728343665
32768,16777216,32,64,0.8129100799999999,0.0035034018201600004,11.129363685548098,0.34738001728343665
32768,16777216,32,32,0.98626184,0.006584677142640001,9.173194741031448,0.34738001728343665
32768,16777216,16,512,0.6988108799999999,0.0003992228420266666,12.946524135354045,0.34738001728343665
